MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,5.636248
,2022-01-02,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,5.914024
,2022-01-03,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.493886
,2022-01-04,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.197286
,2022-01-05,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.573391
,2022-01-06,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.749348
,2022-01-07,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.636439
,2022-01-08,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.387771
,2022-01-09,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,5.73738
,2022-01-10,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.570094
,2022-01-11,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.850374
,2022-01-12,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.668954
,2022-01-13,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.569925
,2022-01-14,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.725888
,2022-01-15,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.08061
,2022-01-16,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,5.574241
,2022-01-17,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.72403
,2022-01-18,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.562769
,2022-01-19,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.7051110000000005
,2022-01-20,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.923623
,2022-01-21,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.613118
,2022-01-22,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,6.137488
,2022-01-23,88347.0,HOSP JORGE VALENTE,Consumidor Especial,NORDESTE,12.0,5.585799
