MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,1.794242
,2023-01-02,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,9.424585
,2023-01-03,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,10.089628
,2023-01-04,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,9.649754
,2023-01-05,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,10.121872
,2023-01-06,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,9.939714
,2023-01-07,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,1.971916
,2023-01-08,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,1.626771
,2023-01-09,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,9.878535
,2023-01-10,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,11.701788
,2023-01-11,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.559432
,2023-01-12,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.326737
,2023-01-13,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.801789
,2023-01-14,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,2.407909
,2023-01-15,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,1.676109
,2023-01-16,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,11.671604
,2023-01-17,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.546023
,2023-01-18,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.633975
,2023-01-19,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,11.989743
,2023-01-20,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.6525
,2023-01-21,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,3.069763
,2023-01-22,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,1.521589
,2023-01-23,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,11.835856
,2023-01-24,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.656998
,2023-01-25,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,13.29056
,2023-01-26,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,12.576658
,2023-01-27,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,13.632614
,2023-01-28,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,4.669185
,2023-01-29,45756.0,INDUSTRIAL PAGE LTDA CL 514,Consumidor Livre,SUL,22.32,3.796762
