MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.59986
,2022-01-02,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.223005
,2022-01-03,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.025513
,2022-01-04,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.880909
,2022-01-05,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.105657
,2022-01-06,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.176708
,2022-01-07,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.723612
,2022-01-08,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.471095
,2022-01-09,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,4.763025
,2022-01-10,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.481238
,2022-01-11,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.792737
,2022-01-12,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.021378
,2022-01-13,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.166729
,2022-01-14,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.786934
,2022-01-15,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.592228
,2022-01-16,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.617052
,2022-01-17,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.189338000000001
,2022-01-18,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.054999
,2022-01-19,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.617584
,2022-01-20,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.656999
,2022-01-21,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.837571
,2022-01-22,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.587104
,2022-01-23,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.853742
,2022-01-24,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.762528
,2022-01-25,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.600306
,2022-01-26,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,9.179791
,2022-01-27,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.995095
,2022-01-28,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.324722
,2022-01-29,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.746758
,2022-01-30,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.005963
,2022-01-31,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.171362
,2022-02-01,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.862468
,2022-02-02,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.254966
,2022-02-03,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.926537
,2022-02-04,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.026785
,2022-02-05,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.773998
,2022-02-06,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.208588
,2022-02-07,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.650352
,2022-02-08,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.891904999999999
,2022-02-09,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.521047
,2022-02-10,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.76861
,2022-02-11,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.831231
,2022-02-12,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,6.621158
,2022-02-13,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,5.715293
,2022-02-14,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.541229
,2022-02-15,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.194812
,2022-02-16,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,8.326519
,2022-02-17,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.976523999999999
,2022-02-18,21706.0,IRMANDADE,Consumidor Especial,SUL,12.0,7.39449
