MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-12-01,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.419872
,2023-12-02,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.431144
,2023-12-03,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.106034
,2023-12-04,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.371873
,2023-12-05,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.283576
,2023-12-06,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.31621
,2023-12-07,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.313278
,2023-12-08,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.268737
,2023-12-09,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.2645
,2023-12-10,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,0.923598
,2023-12-11,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.233038
,2023-12-12,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.320056
,2023-12-13,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.340666
,2023-12-14,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.353112
,2023-12-15,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.359073
,2023-12-16,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.361386
,2023-12-17,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.045616
,2023-12-18,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.352422
,2023-12-19,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.34958
,2023-12-20,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.321276
,2023-12-21,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.361868
,2023-12-22,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.441769
,2023-12-23,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.374587
,2023-12-24,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.254894
,2023-12-25,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,0.756645
,2023-12-26,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.139232
,2023-12-27,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.207214
,2023-12-28,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.283228
,2023-12-29,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.270005
,2023-12-30,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.221408
,2023-12-31,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.187563
,2024-01-01,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,0.915457
,2024-01-02,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.257641
,2024-01-03,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.30915
,2024-01-04,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.332863
,2024-01-05,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.26684
,2024-01-06,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.309836
,2024-01-07,86962.0,ITALO 12-PNH,Consumidor Especial,SUL,1.7999999999999998,1.191205
