MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-05-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.745309
,2023-05-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.741248
,2023-05-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,3.064878
,2023-05-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.822754
,2023-05-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.37026
,2023-05-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.959601
,2023-05-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.169656
,2023-05-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.759414
,2023-05-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.575955
,2023-05-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.503439
,2023-05-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.976755
,2023-05-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.410932
,2023-05-13,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.608226
,2023-05-14,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.95469
,2023-05-15,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.711043
,2023-05-16,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.404091
,2023-05-17,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.001381
,2023-05-18,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.162107
,2023-05-19,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.007473
,2023-05-20,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.771475
,2023-05-21,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.693723
,2023-05-22,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.207047
,2023-05-23,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.602072
,2023-05-24,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.638281
,2023-05-25,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.553152
,2023-05-26,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.602661
,2023-05-27,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,3.301605
,2023-05-28,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,3.305977
,2023-05-29,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.553924
,2023-05-30,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.743107
,2023-05-31,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.648858
,2023-06-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.727862
,2023-06-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.413863
,2023-06-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.354159
,2023-06-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.7044320000000001
,2023-06-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.071566
,2023-06-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.954752
,2023-06-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.749596
,2023-06-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.875706
,2023-06-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,3.25298
,2023-06-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.320626
,2023-06-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.750625
,2023-06-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.178323
,2023-06-13,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,6.061102
,2023-06-14,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.872012
,2023-06-15,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.683778
,2023-06-16,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.436108
,2023-06-17,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.61973
,2023-06-18,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.059894
,2023-06-19,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.776976
,2023-06-20,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.942601
,2023-06-21,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.907265
,2023-06-22,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.745938
,2023-06-23,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.306767
,2023-06-24,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.061433
,2023-06-25,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.446607
,2023-06-26,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.988925
,2023-06-27,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.785705
,2023-06-28,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.703114
,2023-06-29,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.655218
,2023-06-30,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.025191
,2023-07-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,1.140434
,2023-07-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.367464
,2023-07-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.17414
,2023-07-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.133824
,2023-07-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.316465
,2023-07-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.05983
,2023-07-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.02643
,2023-07-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.669793
,2023-07-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.86793
,2023-07-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.612622
,2023-07-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.318362
,2023-07-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.410436
,2023-07-13,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.131166
,2023-07-14,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.002399
,2023-07-15,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.815787
,2023-07-16,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.954042
,2023-07-17,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.483667
,2023-07-18,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.257946
,2023-07-19,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.306915
,2023-07-20,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.388306
,2023-07-21,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.033334
,2023-07-22,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.21057
,2023-07-23,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.730135
,2023-07-24,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.432952
,2023-07-25,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.225297
,2023-07-26,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.333506
,2023-07-27,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.179767
,2023-07-28,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.027598
,2023-07-29,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.560125
,2023-07-30,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.843206
,2023-07-31,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.525988
,2023-08-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.267407
,2023-08-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.346965
,2023-08-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.2279670000000005
,2023-08-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.009689
,2023-08-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.520805
,2023-08-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.834947
,2023-08-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.4941130000000005
,2023-08-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.230898
,2023-08-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.319934
,2023-08-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.250142
,2023-08-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.01271
,2023-08-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.424616
,2023-08-13,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.793865
,2023-08-14,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.506659
,2023-08-15,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.231304
,2023-08-16,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.325575000000001
,2023-08-17,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.204601
,2023-08-18,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.999163
,2023-08-19,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.48786
,2023-08-20,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.81319
,2023-08-21,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.505039
,2023-08-22,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.237433
,2023-08-23,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.308536
,2023-08-24,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.209768
,2023-08-25,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.987967
,2023-08-26,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,2.46525
,2023-08-27,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,0.80406
,2023-08-28,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,4.494057
,2023-08-29,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.225156
,2023-08-30,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.312603
,2023-08-31,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,12.24,5.217427
,2023-09-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.156252
,2023-09-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.293643
,2023-09-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.850654
,2023-09-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.371437
,2023-09-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,8.242748
,2023-09-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.839029
,2023-09-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.223997
,2023-09-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,4.473309
,2023-09-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.349087
,2023-09-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.844287
,2023-09-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.260809
,2023-09-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.847633
,2023-09-13,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.847269
,2023-09-14,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.849722
,2023-09-15,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.51497
,2023-09-16,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,4.196528
,2023-09-17,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.850259
,2023-09-18,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.179212
,2023-09-19,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.95011
,2023-09-20,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.725503
,2023-09-21,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.548728
,2023-09-22,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.036594
,2023-09-23,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.237391
,2023-09-24,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.874847
,2023-09-25,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.254031
,2023-09-26,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.562739
,2023-09-27,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,8.135604
,2023-09-28,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.414694
,2023-09-29,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.337063
,2023-09-30,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.243497
,2023-10-01,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.833329
,2023-10-02,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.082916
,2023-10-03,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.206792
,2023-10-04,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,8.043805
,2023-10-05,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.952453
,2023-10-06,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.826446
,2023-10-07,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,3.137366
,2023-10-08,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,0.872007
,2023-10-09,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,6.236306
,2023-10-10,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.981247
,2023-10-11,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,7.653656
,2023-10-12,57393.0,LINE SEAL,Consumidor Especial,SUDESTE,18.24,5.081893
