MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202411.0,2024-11-01,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.7426
202411.0,2024-11-01,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.7426
,2024-11-01,,MARAZUL,,,23.04,4.7426
202411.0,2024-11-02,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.66424
202411.0,2024-11-02,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.66424
,2024-11-02,,MARAZUL,,,23.04,1.66424
202411.0,2024-11-03,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.689841
202411.0,2024-11-03,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.689841
,2024-11-03,,MARAZUL,,,23.04,1.689841
202411.0,2024-11-04,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.00366
202411.0,2024-11-04,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.00366
,2024-11-04,,MARAZUL,,,23.04,6.00366
202411.0,2024-11-05,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.293713
202411.0,2024-11-05,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.293713
,2024-11-05,,MARAZUL,,,23.04,5.293713
202411.0,2024-11-06,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.217915
202411.0,2024-11-06,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.217915
,2024-11-06,,MARAZUL,,,23.04,6.217915
202411.0,2024-11-07,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.047345
202411.0,2024-11-07,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.047345
,2024-11-07,,MARAZUL,,,23.04,6.047345
202411.0,2024-11-08,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.616274
202411.0,2024-11-08,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.616274
,2024-11-08,,MARAZUL,,,23.04,5.616274
202411.0,2024-11-09,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.266215
202411.0,2024-11-09,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.266215
,2024-11-09,,MARAZUL,,,23.04,2.266215
202411.0,2024-11-10,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.538139
202411.0,2024-11-10,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.538139
,2024-11-10,,MARAZUL,,,23.04,1.538139
202411.0,2024-11-11,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.650794
202411.0,2024-11-11,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.650794
,2024-11-11,,MARAZUL,,,23.04,5.650794
202411.0,2024-11-12,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.510812
202411.0,2024-11-12,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.510812
,2024-11-12,,MARAZUL,,,23.04,6.510812
202411.0,2024-11-13,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.275642
202411.0,2024-11-13,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.275642
,2024-11-13,,MARAZUL,,,23.04,6.275642
202411.0,2024-11-14,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.707488
202411.0,2024-11-14,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.707488
,2024-11-14,,MARAZUL,,,23.04,4.707488
202411.0,2024-11-15,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.86241
202411.0,2024-11-15,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.86241
,2024-11-15,,MARAZUL,,,23.04,1.86241
202411.0,2024-11-16,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.87721
202411.0,2024-11-16,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.87721
,2024-11-16,,MARAZUL,,,23.04,1.87721
202411.0,2024-11-17,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.702162
202411.0,2024-11-17,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.702162
,2024-11-17,,MARAZUL,,,23.04,1.702162
202411.0,2024-11-18,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.407837
202411.0,2024-11-18,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.407837
,2024-11-18,,MARAZUL,,,23.04,6.407837
202411.0,2024-11-19,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.865751
202411.0,2024-11-19,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.865751
,2024-11-19,,MARAZUL,,,23.04,6.865751
202411.0,2024-11-20,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.223954
202411.0,2024-11-20,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.223954
,2024-11-20,,MARAZUL,,,23.04,2.223954
202411.0,2024-11-21,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,7.073351
202411.0,2024-11-21,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,7.073351
,2024-11-21,,MARAZUL,,,23.04,7.073351
202411.0,2024-11-22,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.41306
202411.0,2024-11-22,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.41306
,2024-11-22,,MARAZUL,,,23.04,5.41306
202411.0,2024-11-23,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.018973
202411.0,2024-11-23,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.018973
,2024-11-23,,MARAZUL,,,23.04,2.018973
202411.0,2024-11-24,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.313274
202411.0,2024-11-24,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.313274
,2024-11-24,,MARAZUL,,,23.04,1.313274
202411.0,2024-11-25,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.060582
202411.0,2024-11-25,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.060582
,2024-11-25,,MARAZUL,,,23.04,5.060582
202411.0,2024-11-26,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.637323
202411.0,2024-11-26,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.637323
,2024-11-26,,MARAZUL,,,23.04,5.637323
202411.0,2024-11-27,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.268655
202411.0,2024-11-27,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.268655
,2024-11-27,,MARAZUL,,,23.04,6.268655
202411.0,2024-11-28,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,7.190313
202411.0,2024-11-28,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,7.190313
,2024-11-28,,MARAZUL,,,23.04,7.190313
202411.0,2024-11-29,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.763552
202411.0,2024-11-29,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.763552
,2024-11-29,,MARAZUL,,,23.04,6.763552
202411.0,2024-11-30,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.481521
202411.0,2024-11-30,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.481521
,2024-11-30,,MARAZUL,,,23.04,2.481521
202412.0,2024-12-01,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.219093
202412.0,2024-12-01,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.219093
,2024-12-01,,MARAZUL,,,23.04,1.219093
202412.0,2024-12-02,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.317257
202412.0,2024-12-02,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.317257
,2024-12-02,,MARAZUL,,,23.04,4.317257
202412.0,2024-12-03,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.142714
202412.0,2024-12-03,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.142714
,2024-12-03,,MARAZUL,,,23.04,6.142714
202412.0,2024-12-04,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.452179
202412.0,2024-12-04,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.452179
,2024-12-04,,MARAZUL,,,23.04,5.452179
202412.0,2024-12-05,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.685314
202412.0,2024-12-05,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,5.685314
,2024-12-05,,MARAZUL,,,23.04,5.685314
202412.0,2024-12-06,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.828988
202412.0,2024-12-06,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.828988
,2024-12-06,,MARAZUL,,,23.04,4.828988
202412.0,2024-12-07,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.123099
202412.0,2024-12-07,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,2.123099
,2024-12-07,,MARAZUL,,,23.04,2.123099
202412.0,2024-12-08,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.771644
202412.0,2024-12-08,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.771644
,2024-12-08,,MARAZUL,,,23.04,1.771644
202412.0,2024-12-09,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.177228
202412.0,2024-12-09,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.177228
,2024-12-09,,MARAZUL,,,23.04,6.177228
202412.0,2024-12-10,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.223165
202412.0,2024-12-10,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,6.223165
,2024-12-10,,MARAZUL,,,23.04,6.223165
202412.0,2024-12-11,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.921443
202412.0,2024-12-11,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.921443
,2024-12-11,,MARAZUL,,,23.04,3.921443
202412.0,2024-12-12,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.740394
202412.0,2024-12-12,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.740394
,2024-12-12,,MARAZUL,,,23.04,3.740394
202412.0,2024-12-13,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.647898
202412.0,2024-12-13,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,3.647898
,2024-12-13,,MARAZUL,,,23.04,3.647898
202412.0,2024-12-14,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.906309
202412.0,2024-12-14,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.906309
,2024-12-14,,MARAZUL,,,23.04,1.906309
202412.0,2024-12-15,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.650995
202412.0,2024-12-15,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,1.650995
,2024-12-15,,MARAZUL,,,23.04,1.650995
202412.0,2024-12-16,130503.0,MARAZUL,Consumidor Especial,SUDESTE,23.04,4.379743
