MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,20.606413
,2022-01-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,20.959989
,2022-01-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,26.236478
,2022-01-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,48.859473
,2022-01-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,69.48659
,2022-01-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.308916
,2022-01-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.912817
,2022-01-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.914705
,2022-01-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,38.105843
,2022-01-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,59.089632
,2022-01-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.317296
,2022-01-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,81.089505
,2022-01-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,80.273277
,2022-01-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,83.800702
,2022-01-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,37.622709
,2022-01-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,23.796734
,2022-01-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,58.846809
,2022-01-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.693434
,2022-01-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.796772
,2022-01-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.480057
,2022-01-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,80.12598200000001
,2022-01-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,39.20909
,2022-01-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,28.927495
,2022-01-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,56.159301
,2022-01-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.873584
,2022-01-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.242563
,2022-01-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,82.39845700000001
,2022-01-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.133808
,2022-01-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,36.699545
,2022-01-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,24.482415
,2022-01-31,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,47.610448
,2022-02-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.813847
,2022-02-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,81.415841
,2022-02-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,83.015275
,2022-02-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,84.499694
,2022-02-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,39.396473
,2022-02-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,28.382941
,2022-02-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,53.632842
,2022-02-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.378911
,2022-02-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.905406
,2022-02-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.519556
,2022-02-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.289826
,2022-02-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,37.425133
,2022-02-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,26.856335
,2022-02-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,57.424976
,2022-02-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.922163
,2022-02-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.06036999999999
,2022-02-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.193074
,2022-02-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.397491
,2022-02-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,30.225756
,2022-02-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,22.015586
,2022-02-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,46.11614
,2022-02-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.264659
,2022-02-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.444779
,2022-02-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.638261
,2022-02-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.555851
,2022-02-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,25.807714
,2022-02-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,15.922903
,2022-02-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,17.064838
,2022-03-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,53.601771
,2022-03-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.614183
,2022-03-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.573483
,2022-03-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.477461
,2022-03-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.918032
,2022-03-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,41.272698
,2022-03-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,57.428188
,2022-03-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.035698
,2022-03-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.200744
,2022-03-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.999029
,2022-03-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.240356
,2022-03-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,34.306219
,2022-03-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,20.175979
,2022-03-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,58.669624
,2022-03-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.249696
,2022-03-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.087796
,2022-03-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.424461
,2022-03-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.669716
,2022-03-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.135532
,2022-03-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,33.110658
,2022-03-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,47.071323
,2022-03-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.800726
,2022-03-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.818761
,2022-03-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.221328
,2022-03-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,35.128322
,2022-03-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,25.909357
,2022-03-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,24.569483
,2022-03-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,52.968846
,2022-03-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.386446
,2022-03-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.00772
,2022-03-31,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.162105
,2022-04-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.071657
,2022-04-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.930082
,2022-04-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,29.252638
,2022-04-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,58.716163
,2022-04-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.378726
,2022-04-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.347238
,2022-04-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.84027
,2022-04-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.871232
,2022-04-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,33.754498
,2022-04-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,17.20026
,2022-04-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,54.852466
,2022-04-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.562937
,2022-04-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.08519
,2022-04-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.888127
,2022-04-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,26.375918
,2022-04-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,15.766198
,2022-04-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,16.986421
,2022-04-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,54.86589
,2022-04-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.779476
,2022-04-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.47271599999999
,2022-04-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.269676
,2022-04-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,23.769486
,2022-04-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,14.248105
,2022-04-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,18.289924
,2022-04-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,53.545842
,2022-04-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.854342
,2022-04-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.131725
,2022-04-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.886921
,2022-04-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.340594
,2022-04-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,29.576194
,2022-05-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,18.855612
,2022-05-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,54.558669
,2022-05-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.488732
,2022-05-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.430965
,2022-05-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.86745
,2022-05-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,81.043664
,2022-05-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,34.006757
,2022-05-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,17.517526
,2022-05-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,55.190819
,2022-05-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.69682399999999
,2022-05-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,81.954733
,2022-05-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.82105899999999
,2022-05-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.358774
,2022-05-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.686706
,2022-05-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,33.049511
,2022-05-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,56.176106
,2022-05-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,80.119069
,2022-05-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,79.597563
,2022-05-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,78.573477
,2022-05-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.516376
,2022-05-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,29.209806
,2022-05-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,18.201274
,2022-05-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,56.255459
,2022-05-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.130256
,2022-05-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.225813
,2022-05-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.934528
,2022-05-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.84744
,2022-05-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.442958
,2022-05-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,32.247415
,2022-05-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,42.202286
,2022-05-31,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,64.782633
,2022-06-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,68.138567
,2022-06-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.217536
,2022-06-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.553055
,2022-06-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,34.276450000000004
,2022-06-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,15.837566
,2022-06-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,48.911931
,2022-06-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.053657
,2022-06-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.791304
,2022-06-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.81647099999999
,2022-06-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.830436
,2022-06-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.762955
,2022-06-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,31.130794
,2022-06-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,49.842415
,2022-06-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,70.668862
,2022-06-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.285886
,2022-06-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.174287
,2022-06-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,27.51688
,2022-06-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,15.008203
,2022-06-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,17.266412
,2022-06-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,54.073494
,2022-06-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,77.120976
,2022-06-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.17148
,2022-06-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,76.063901
,2022-06-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,70.965499
,2022-06-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.674727
,2022-06-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,30.658541
,2022-06-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,51.379418
,2022-06-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.970541
,2022-06-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.0663
,2022-06-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.326569
,2022-07-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.079902
,2022-07-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,29.73304
,2022-07-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,19.141461
,2022-07-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,53.139195
,2022-07-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.750602
,2022-07-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.23406800000001
,2022-07-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.044812
,2022-07-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,72.999338
,2022-07-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,28.579867
,2022-07-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,16.609726
,2022-07-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,53.199242
,2022-07-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,75.590574
,2022-07-13,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.606166
,2022-07-14,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,74.226619
,2022-07-15,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.949007
,2022-07-16,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,29.89791
,2022-07-17,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,17.677879
,2022-07-18,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,51.193124
,2022-07-19,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,70.800213
,2022-07-20,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,22.689539
,2022-07-21,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,8.947491
,2022-07-22,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,8.020269
,2022-07-23,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,6.918984
,2022-07-24,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,5.182204
,2022-07-25,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,7.11332
,2022-07-26,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,5.933275
,2022-07-27,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,7.994658
,2022-07-28,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,10.224093
,2022-07-29,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,10.630848
,2022-07-30,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,13.126051
,2022-07-31,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,22.834787
,2022-08-01,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,42.504854
,2022-08-02,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,67.838744
,2022-08-03,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,70.710828
,2022-08-04,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,71.416961
,2022-08-05,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,70.412939
,2022-08-06,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,73.371838
,2022-08-07,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,32.857431
,2022-08-08,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,51.702149
,2022-08-09,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,69.42207499999999
,2022-08-10,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,69.497214
,2022-08-11,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,67.508698
,2022-08-12,84737.0,MAXION WHEELS CL,Consumidor Livre,SUDESTE,79.19999999999999,69.607231
