MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,1.787095
,2023-01-02,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.956518
,2023-01-03,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.61387
,2023-01-04,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.653539
,2023-01-05,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.337485
,2023-01-06,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.8623
,2023-01-07,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.370238
,2023-01-08,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,2.44066
,2023-01-09,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.740246
,2023-01-10,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.994448
,2023-01-11,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.118803
,2023-01-12,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.14104
,2023-01-13,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.378937
,2023-01-14,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.059467
,2023-01-15,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.106085
,2023-01-16,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.53504
,2023-01-17,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.419975
,2023-01-18,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.591073
,2023-01-19,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.432776
,2023-01-20,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.4228060000000005
,2023-01-21,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.210263
,2023-01-22,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,2.53783
,2023-01-23,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.139044
,2023-01-24,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.399031
,2023-01-25,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.157186
,2023-01-26,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.536976
,2023-01-27,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.498042
,2023-01-28,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.091368
,2023-01-29,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.212425
,2023-01-30,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.679274
,2023-01-31,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.607979
,2023-02-01,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.7027
,2023-02-02,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.732771
,2023-02-03,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.655609
,2023-02-04,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.19394
,2023-02-05,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.536807
,2023-02-06,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.121396
,2023-02-07,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.320244
,2023-02-08,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.953898
,2023-02-09,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.292087
,2023-02-10,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.536816
,2023-02-11,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.245206
,2023-02-12,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.323101
,2023-02-13,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.437689
,2023-02-14,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.8413070000000005
,2023-02-15,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.707295
,2023-02-16,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.60369
,2023-02-17,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.573432
,2023-02-18,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.426122
,2023-02-19,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,2.24379
,2023-02-20,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,2.613547
,2023-02-21,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,2.220002
,2023-02-22,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.277435
,2023-02-23,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.215292
,2023-02-24,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.583607
,2023-02-25,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.219205
,2023-02-26,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.310119
,2023-02-27,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.985489
,2023-02-28,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.994743
,2023-03-01,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.0243530000000005
,2023-03-02,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.065307
,2023-03-03,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.285365
,2023-03-04,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.312057
,2023-03-05,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.187449
,2023-03-06,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.815924
,2023-03-07,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.04191
,2023-03-08,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.899814
,2023-03-09,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.80388
,2023-03-10,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.899268
,2023-03-11,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.139509
,2023-03-12,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.177189
,2023-03-13,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.568463
,2023-03-14,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.46075
,2023-03-15,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.974897
,2023-03-16,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.978944
,2023-03-17,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.819224
,2023-03-18,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.333875
,2023-03-19,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.373216
,2023-03-20,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.693414
,2023-03-21,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.167156
,2023-03-22,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.238046
,2023-03-23,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.157935
,2023-03-24,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.932236
,2023-03-25,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.550773
,2023-03-26,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.707181
,2023-03-27,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.0939820000000005
,2023-03-28,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.104654
,2023-03-29,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,5.214294
,2023-03-30,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.959982
,2023-03-31,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.596535
,2023-04-01,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.42404
,2023-04-02,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,3.125085
,2023-04-03,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.247828
,2023-04-04,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.267464
,2023-04-05,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.57987
,2023-04-06,45353.0,MINASCASA CL 514,Consumidor Livre,SUDESTE,12.0,4.924919
