MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,0.344314
,2023-01-02,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,5.939422
,2023-01-03,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.531356
,2023-01-04,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,4.250237
,2023-01-05,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,4.717231
,2023-01-06,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.19823
,2023-01-07,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,4.912485
,2023-01-08,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,0.644203
,2023-01-09,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,4.888601
,2023-01-10,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.338242
,2023-01-11,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.400604
,2023-01-12,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.75566
,2023-01-13,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.694683
,2023-01-14,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,1.022357
,2023-01-15,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,0.3435539999999999
,2023-01-16,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,5.228083
,2023-01-17,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,6.720309
,2023-01-18,47392.0,MISSIATO JAMEL CL 514,Consumidor Livre,SUDESTE,15.84,5.688414
