MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202404.0,2024-04-01,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,9.723682
202404.0,2024-04-01,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,9.723682
,2024-04-01,,NATIVO MINERADORA,,,12.0,9.723682
202404.0,2024-04-02,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,4.491161
202404.0,2024-04-02,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,4.491161
,2024-04-02,,NATIVO MINERADORA,,,12.0,4.491161
202404.0,2024-04-03,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,0.0
202404.0,2024-04-03,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,0.0
,2024-04-03,,NATIVO MINERADORA,,,12.0,0.0
202404.0,2024-04-04,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,4.373461
202404.0,2024-04-04,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,4.373461
,2024-04-04,,NATIVO MINERADORA,,,12.0,4.373461
202404.0,2024-04-05,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,16.457851
202404.0,2024-04-05,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,16.457851
,2024-04-05,,NATIVO MINERADORA,,,12.0,16.457851
202404.0,2024-04-06,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,8.229628
202404.0,2024-04-06,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,8.229628
,2024-04-06,,NATIVO MINERADORA,,,12.0,8.229628
202404.0,2024-04-07,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,6.313236
202404.0,2024-04-07,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,6.313236
,2024-04-07,,NATIVO MINERADORA,,,12.0,6.313236
202404.0,2024-04-08,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,11.191749
202404.0,2024-04-08,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,11.191749
,2024-04-08,,NATIVO MINERADORA,,,12.0,11.191749
202404.0,2024-04-09,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,10.790105
202404.0,2024-04-09,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,10.790105
,2024-04-09,,NATIVO MINERADORA,,,12.0,10.790105
202404.0,2024-04-10,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,10.403588
202404.0,2024-04-10,125642.0,NATIVO MINERADORA,Consumidor Livre,NORTE,12.0,10.403588
