MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202408.0,2024-08-01,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.8039890000000001
202408.0,2024-08-01,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.8039890000000001
,2024-08-01,,NOVA ERA P5,,,3.12,0.8039890000000001
202408.0,2024-08-02,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.723517
202408.0,2024-08-02,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.723517
,2024-08-02,,NOVA ERA P5,,,3.12,0.723517
202408.0,2024-08-03,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.523782
202408.0,2024-08-03,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.523782
,2024-08-03,,NOVA ERA P5,,,3.12,0.523782
202408.0,2024-08-04,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.606364
202408.0,2024-08-04,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.606364
,2024-08-04,,NOVA ERA P5,,,3.12,0.606364
202408.0,2024-08-05,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.829875
202408.0,2024-08-05,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.829875
,2024-08-05,,NOVA ERA P5,,,3.12,0.829875
202408.0,2024-08-06,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.92009
202408.0,2024-08-06,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.92009
,2024-08-06,,NOVA ERA P5,,,3.12,0.92009
202408.0,2024-08-07,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.881966
202408.0,2024-08-07,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.881966
,2024-08-07,,NOVA ERA P5,,,3.12,0.881966
202408.0,2024-08-08,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.923145
202408.0,2024-08-08,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.923145
,2024-08-08,,NOVA ERA P5,,,3.12,0.923145
202408.0,2024-08-09,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.911807
202408.0,2024-08-09,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.911807
,2024-08-09,,NOVA ERA P5,,,3.12,0.911807
202408.0,2024-08-10,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.904172
202408.0,2024-08-10,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.904172
,2024-08-10,,NOVA ERA P5,,,3.12,0.904172
202408.0,2024-08-11,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.384502
202408.0,2024-08-11,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.384502
,2024-08-11,,NOVA ERA P5,,,3.12,0.384502
202408.0,2024-08-12,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.968162
202408.0,2024-08-12,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.968162
,2024-08-12,,NOVA ERA P5,,,3.12,0.968162
202408.0,2024-08-13,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.942867
202408.0,2024-08-13,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.942867
,2024-08-13,,NOVA ERA P5,,,3.12,0.942867
202408.0,2024-08-14,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.911511
202408.0,2024-08-14,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.911511
,2024-08-14,,NOVA ERA P5,,,3.12,0.911511
202408.0,2024-08-15,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.916144
202408.0,2024-08-15,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.916144
,2024-08-15,,NOVA ERA P5,,,3.12,0.916144
202408.0,2024-08-16,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.785453
202408.0,2024-08-16,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.785453
,2024-08-16,,NOVA ERA P5,,,3.12,0.785453
202408.0,2024-08-17,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.424653
202408.0,2024-08-17,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.424653
,2024-08-17,,NOVA ERA P5,,,3.12,0.424653
202408.0,2024-08-18,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.299993
202408.0,2024-08-18,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.299993
,2024-08-18,,NOVA ERA P5,,,3.12,0.299993
202408.0,2024-08-19,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.781335
202408.0,2024-08-19,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.781335
,2024-08-19,,NOVA ERA P5,,,3.12,0.781335
202408.0,2024-08-20,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.862487
202408.0,2024-08-20,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.862487
,2024-08-20,,NOVA ERA P5,,,3.12,0.862487
202408.0,2024-08-21,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.921044
202408.0,2024-08-21,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.921044
,2024-08-21,,NOVA ERA P5,,,3.12,0.921044
202408.0,2024-08-22,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.825536
202408.0,2024-08-22,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.825536
,2024-08-22,,NOVA ERA P5,,,3.12,0.825536
202408.0,2024-08-23,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.767724
202408.0,2024-08-23,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.767724
,2024-08-23,,NOVA ERA P5,,,3.12,0.767724
202408.0,2024-08-24,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.52152
202408.0,2024-08-24,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.52152
,2024-08-24,,NOVA ERA P5,,,3.12,0.52152
202408.0,2024-08-25,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.577895
202408.0,2024-08-25,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.577895
,2024-08-25,,NOVA ERA P5,,,3.12,0.577895
202408.0,2024-08-26,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.830611
202408.0,2024-08-26,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.830611
,2024-08-26,,NOVA ERA P5,,,3.12,0.830611
202408.0,2024-08-27,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.756888
202408.0,2024-08-27,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.756888
,2024-08-27,,NOVA ERA P5,,,3.12,0.756888
202408.0,2024-08-28,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.802664
202408.0,2024-08-28,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.802664
,2024-08-28,,NOVA ERA P5,,,3.12,0.802664
202408.0,2024-08-29,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.858224
202408.0,2024-08-29,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.858224
,2024-08-29,,NOVA ERA P5,,,3.12,0.858224
202408.0,2024-08-30,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.84159
202408.0,2024-08-30,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.84159
,2024-08-30,,NOVA ERA P5,,,3.12,0.84159
202408.0,2024-08-31,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.586703
202408.0,2024-08-31,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.586703
,2024-08-31,,NOVA ERA P5,,,3.12,0.586703
202409.0,2024-09-01,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.301631
202409.0,2024-09-01,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.301631
,2024-09-01,,NOVA ERA P5,,,3.12,0.301631
202409.0,2024-09-02,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,1.012213
202409.0,2024-09-02,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,1.012213
,2024-09-02,,NOVA ERA P5,,,3.12,1.012213
202409.0,2024-09-03,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,1.033312
202409.0,2024-09-03,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,1.033312
,2024-09-03,,NOVA ERA P5,,,3.12,1.033312
202409.0,2024-09-04,149320.0,NOVA ERA P5,Consumidor Especial,SUDESTE,3.12,0.968597
