MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.214084
,2023-01-02,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,2.935033
,2023-01-03,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,9.698888
,2023-01-04,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.529341
,2023-01-05,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.762758
,2023-01-06,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.004614
,2023-01-07,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,3.554068
,2023-01-08,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.183493
,2023-01-09,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,9.575435
,2023-01-10,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.994876
,2023-01-11,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.792219
,2023-01-12,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.990383
,2023-01-13,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.595349
,2023-01-14,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,4.389022
,2023-01-15,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.860576
,2023-01-16,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.854514
,2023-01-17,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.803911
,2023-01-18,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.449915
,2023-01-19,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.966915
,2023-01-20,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.34201
,2023-01-21,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,4.918896
,2023-01-22,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.283215
,2023-01-23,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.846381
,2023-01-24,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.330467
,2023-01-25,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.937401
,2023-01-26,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.638585
,2023-01-27,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.740997
,2023-01-28,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.402575000000001
,2023-01-29,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.304798
,2023-01-30,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.500562
,2023-01-31,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.908
,2023-02-01,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.158688
,2023-02-02,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.681061
,2023-02-03,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.818807
,2023-02-04,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,3.69799
,2023-02-05,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.302712
,2023-02-06,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.571935
,2023-02-07,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.5396
,2023-02-08,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.818737
,2023-02-09,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.716046
,2023-02-10,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.574933
,2023-02-11,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.635331
,2023-02-12,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.590846
,2023-02-13,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.087112
,2023-02-14,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.347838
,2023-02-15,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.262515
,2023-02-16,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.578046
,2023-02-17,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.338984
,2023-02-18,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,4.774862
,2023-02-19,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,0.906866
,2023-02-20,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,9.734521
,2023-02-21,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.703214
,2023-02-22,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.04928
,2023-02-23,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.238851
,2023-02-24,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.143915
,2023-02-25,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,6.515107
,2023-02-26,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,2.212678
,2023-02-27,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.291762
,2023-02-28,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.505709
,2023-03-01,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,9.631388
,2023-03-02,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,7.384986
,2023-03-03,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,9.262852
,2023-03-04,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.423314
,2023-03-05,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.997285
,2023-03-06,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.157564
,2023-03-07,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.210941
,2023-03-08,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.4172
,2023-03-09,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.194952
,2023-03-10,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.424125
,2023-03-11,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.28296
,2023-03-12,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,2.895585
,2023-03-13,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.481185
,2023-03-14,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.657763
,2023-03-15,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.465019
,2023-03-16,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.18452
,2023-03-17,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.121668
,2023-03-18,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,4.897926
,2023-03-19,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.012677
,2023-03-20,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,2.642271
,2023-03-21,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,10.89166
,2023-03-22,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.565163
,2023-03-23,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.020763
,2023-03-24,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.450444
,2023-03-25,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,5.7729550000000005
,2023-03-26,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,1.888221
,2023-03-27,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.931996
,2023-03-28,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.525577
,2023-03-29,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.363975
,2023-03-30,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,12.777184
,2023-03-31,44969.0,OETTERER CL 514,Consumidor Livre,SUDESTE,20.64,11.539437
