MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,1.061889
,2023-01-02,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.633124
,2023-01-03,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,3.07858
,2023-01-04,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,4.301444
,2023-01-05,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.246242
,2023-01-06,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.045008
,2023-01-07,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.59767
,2023-01-08,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.560277
,2023-01-09,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.333872
,2023-01-10,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,5.804151
,2023-01-11,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.568639999999999
,2023-01-12,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.926088
,2023-01-13,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.004045
,2023-01-14,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,3.521391
,2023-01-15,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,3.466925
,2023-01-16,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.600748
,2023-01-17,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.9354
,2023-01-18,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.216683
,2023-01-19,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.888713
,2023-01-20,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.598269
,2023-01-21,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,4.40458
,2023-01-22,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,4.42479
,2023-01-23,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.065443
,2023-01-24,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.3934
,2023-01-25,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.462491
,2023-01-26,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.483665
,2023-01-27,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.292371
,2023-01-28,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,4.446338
,2023-01-29,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,4.395393
,2023-01-30,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.77383
,2023-01-31,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.365883
,2023-02-01,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.887232000000001
,2023-02-02,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.161886
,2023-02-03,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.114329
,2023-02-04,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.278312
,2023-02-05,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.133424
,2023-02-06,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.883659
,2023-02-07,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.454389
,2023-02-08,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.385876
,2023-02-09,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,10.113725
,2023-02-10,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.581438
,2023-02-11,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,3.947326
,2023-02-12,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,3.903116
,2023-02-13,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,9.184437
,2023-02-14,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.991111
,2023-02-15,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,8.13205
,2023-02-16,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.367173
,2023-02-17,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.392255
,2023-02-18,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.73571
,2023-02-19,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.809792
,2023-02-20,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.088851
,2023-02-21,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.492357
,2023-02-22,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.371821000000001
,2023-02-23,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.186111
,2023-02-24,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.672134
,2023-02-25,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.587498
,2023-02-26,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.520823
,2023-02-27,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.256581
,2023-02-28,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.100054
,2023-03-01,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.871641
,2023-03-02,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.323272
,2023-03-03,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.931896
,2023-03-04,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.560542
,2023-03-05,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.568397
,2023-03-06,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.38107
,2023-03-07,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.437047
,2023-03-08,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.303201
,2023-03-09,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.274775
,2023-03-10,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.714224
,2023-03-11,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.336461
,2023-03-12,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.464781
,2023-03-13,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.85119
,2023-03-14,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.810814
,2023-03-15,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.837051
,2023-03-16,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.910292
,2023-03-17,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.483288
,2023-03-18,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,1.445438
,2023-03-19,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.437202
,2023-03-20,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.871557
,2023-03-21,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.821497
,2023-03-22,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.380541
,2023-03-23,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.173893
,2023-03-24,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.725687
,2023-03-25,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.63334
,2023-03-26,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.631131
,2023-03-27,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.720282
,2023-03-28,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.973072
,2023-03-29,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.850785
,2023-03-30,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.584696
,2023-03-31,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.099685
,2023-04-01,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.495235
,2023-04-02,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.39555
,2023-04-03,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.923858
,2023-04-04,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.290323
,2023-04-05,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.520195
,2023-04-06,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.604388
,2023-04-07,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.606448
,2023-04-08,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.678668
,2023-04-09,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.649507
,2023-04-10,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.319744
,2023-04-11,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.037813
,2023-04-12,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.535124
,2023-04-13,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.491841
,2023-04-14,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.903425
,2023-04-15,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.430096
,2023-04-16,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.399847
,2023-04-17,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.393734
,2023-04-18,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.558725
,2023-04-19,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,7.129033
,2023-04-20,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,6.802639
,2023-04-21,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.476383
,2023-04-22,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.499559
,2023-04-23,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,2.512804
,2023-04-24,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,5.940502
,2023-04-25,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,5.67328
,2023-04-26,51633.0,PARANAP MTZ CL,Consumidor Livre,SUDESTE,22.8,5.246499
