MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,0.238929
,2023-01-02,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,1.501433
,2023-01-03,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.310795
,2023-01-04,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.794372
,2023-01-05,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.095324
,2023-01-06,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.093663
,2023-01-07,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.887369
,2023-01-08,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.3646
,2023-01-09,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.668254
,2023-01-10,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.577944
,2023-01-11,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.090726
,2023-01-12,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.10168
,2023-01-13,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.691608
,2023-01-14,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.356876
,2023-01-15,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.433801
,2023-01-16,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.304313
,2023-01-17,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.745283
,2023-01-18,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.976055
,2023-01-19,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.737503
,2023-01-20,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.187743
,2023-01-21,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.290244
,2023-01-22,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.028955
,2023-01-23,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.443923
,2023-01-24,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.632549
,2023-01-25,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.848028
,2023-01-26,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.115192
,2023-01-27,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.968984
,2023-01-28,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.414032
,2023-01-29,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.003281
,2023-01-30,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.377686
,2023-01-31,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.888388
,2023-02-01,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.970703
,2023-02-02,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.688966
,2023-02-03,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,10.284314
,2023-02-04,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.640639
,2023-02-05,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.716229
,2023-02-06,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.722459
,2023-02-07,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.933006
,2023-02-08,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.591007
,2023-02-09,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.869323
,2023-02-10,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.622233
,2023-02-11,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.344125
,2023-02-12,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.798953
,2023-02-13,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.399724
,2023-02-14,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.610448
,2023-02-15,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.203742
,2023-02-16,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.312089
,2023-02-17,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.672174
,2023-02-18,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.452372
,2023-02-19,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.507941
,2023-02-20,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.102988
,2023-02-21,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.847458
,2023-02-22,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.478412
,2023-02-23,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.45176
,2023-02-24,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.223248
,2023-02-25,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.994078
,2023-02-26,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.699185
,2023-02-27,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.483409
,2023-02-28,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.094288
,2023-03-01,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.315001
,2023-03-02,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.423163
,2023-03-03,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.696808
,2023-03-04,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.915101
,2023-03-05,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.324498
,2023-03-06,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.982697
,2023-03-07,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.084036
,2023-03-08,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.137281
,2023-03-09,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.016428
,2023-03-10,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.296932
,2023-03-11,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.862913
,2023-03-12,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.654366
,2023-03-13,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.077961
,2023-03-14,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,9.16493
,2023-03-15,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.746767
,2023-03-16,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.095074
,2023-03-17,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.502193
,2023-03-18,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.4958
,2023-03-19,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.438295
,2023-03-20,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.498734
,2023-03-21,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.888722
,2023-03-22,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.098361
,2023-03-23,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.860462
,2023-03-24,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.735168
,2023-03-25,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.265486
,2023-03-26,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.911951
,2023-03-27,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.868794
,2023-03-28,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.049003
,2023-03-29,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.672672
,2023-03-30,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.504835
,2023-03-31,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.59337
,2023-04-01,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.629422
,2023-04-02,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.681112
,2023-04-03,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.726828
,2023-04-04,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.26448
,2023-04-05,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.599678
,2023-04-06,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.575986
,2023-04-07,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.43426
,2023-04-08,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.7669440000000005
,2023-04-09,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.099963
,2023-04-10,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.16778
,2023-04-11,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,3.388346
,2023-04-12,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.546558
,2023-04-13,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,6.928276
,2023-04-14,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.047697
,2023-04-15,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.029805
,2023-04-16,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.885010999999999
,2023-04-17,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.711608
,2023-04-18,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.201953
,2023-04-19,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.387419
,2023-04-20,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.399193
,2023-04-21,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.522105
,2023-04-22,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.410277
,2023-04-23,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.601898
,2023-04-24,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.963418
,2023-04-25,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.073533
,2023-04-26,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.780484
,2023-04-27,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.505449
,2023-04-28,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.758038
,2023-04-29,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.418925
,2023-04-30,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,8.567991
,2023-05-01,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.978032
,2023-05-02,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.383125
,2023-05-03,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.663417
,2023-05-04,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,7.221664
,2023-05-05,48625.0,PERFILPLAST CL 514,Consumidor Livre,NORDESTE,15.12,3.218808
