MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-10-01,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.179921
,2023-10-02,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.320135
,2023-10-03,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.25045
,2023-10-04,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.869414
,2023-10-05,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.103848
,2023-10-06,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.272822
,2023-10-07,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.198184
,2023-10-08,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.173621
,2023-10-09,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.168045
,2023-10-10,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.676851
,2023-10-11,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.359984
,2023-10-12,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.170481
,2023-10-13,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.035445
,2023-10-14,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.755964
,2023-10-15,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.179915
,2023-10-16,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.724107
,2023-10-17,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.19299
,2023-10-18,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.521636
,2023-10-19,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.893261
,2023-10-20,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.048171
,2023-10-21,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.18128
,2023-10-22,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.17856
,2023-10-23,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.400819
,2023-10-24,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.534997
,2023-10-25,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.258718
,2023-10-26,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.54267
,2023-10-27,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.160674
,2023-10-28,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,1.408873
,2023-10-29,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.132518
,2023-10-30,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,1.15297
,2023-10-31,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.638945
,2023-11-01,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,7.914439
,2023-11-02,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.683845
,2023-11-03,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,5.047187
,2023-11-04,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.881263
,2023-11-05,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.194372
,2023-11-06,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.557865
,2023-11-07,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.267357
,2023-11-08,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.026774
,2023-11-09,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.392891
,2023-11-10,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,5.808726
,2023-11-11,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.139708
,2023-11-12,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.176533
,2023-11-13,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.611932
,2023-11-14,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.78154
,2023-11-15,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,1.876323
,2023-11-16,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.807363
,2023-11-17,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.808983
,2023-11-18,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,1.61631
,2023-11-19,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.147222
,2023-11-20,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.25383
,2023-11-21,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.805958
,2023-11-22,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.130581
,2023-11-23,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,5.765964
,2023-11-24,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,5.279827
,2023-11-25,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,2.182875
,2023-11-26,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.161791
,2023-11-27,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.985787
,2023-11-28,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,6.356103
,2023-11-29,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,5.893731
,2023-11-30,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.262238
,2023-12-01,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.863579
,2023-12-02,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,1.632188
,2023-12-03,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,0.1672
,2023-12-04,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.530125
,2023-12-05,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.493694
,2023-12-06,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,4.405384
,2023-12-07,103685.0,PLANET COLOR,Consumidor Livre,SUDESTE,15.6,3.924778
