MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,0.262313
,2022-01-02,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,0.270563
,2022-01-03,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,8.936131
,2022-01-04,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.900028
,2022-01-05,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.347235
,2022-01-06,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.134792
,2022-01-07,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.408172
,2022-01-08,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,5.119422
,2022-01-09,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,0.948224
,2022-01-10,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,8.970011
,2022-01-11,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.912576
,2022-01-12,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.063178
,2022-01-13,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.27063
,2022-01-14,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.133582
,2022-01-15,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,4.79232
,2022-01-16,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,0.841584
,2022-01-17,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,9.538483
,2022-01-18,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.909947
,2022-01-19,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.703306
,2022-01-20,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,9.940126
,2022-01-21,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,10.1847
,2022-01-22,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,4.995974
,2022-01-23,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,0.877609
,2022-01-24,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,9.02629
,2022-01-25,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,9.787484
,2022-01-26,61338.0,PLASBOHN,Consumidor Especial,SUL,19.200000000000003,11.286794
