MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,139.535149
202403.0,2024-03-01,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,139.535149
,2024-03-01,,PLASZOM APE,,,169.2,139.535149
202403.0,2024-03-02,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,110.080823
202403.0,2024-03-02,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,110.080823
,2024-03-02,,PLASZOM APE,,,169.2,110.080823
202403.0,2024-03-03,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,57.090372
202403.0,2024-03-03,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,57.090372
,2024-03-03,,PLASZOM APE,,,169.2,57.090372
202403.0,2024-03-04,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,116.92098
202403.0,2024-03-04,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,116.92098
,2024-03-04,,PLASZOM APE,,,169.2,116.92098
202403.0,2024-03-05,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.689841
202403.0,2024-03-05,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.689841
,2024-03-05,,PLASZOM APE,,,169.2,128.689841
202403.0,2024-03-06,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.886442
202403.0,2024-03-06,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.886442
,2024-03-06,,PLASZOM APE,,,169.2,128.886442
202403.0,2024-03-07,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.31813
202403.0,2024-03-07,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.31813
,2024-03-07,,PLASZOM APE,,,169.2,128.31813
202403.0,2024-03-08,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,135.813119
202403.0,2024-03-08,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,135.813119
,2024-03-08,,PLASZOM APE,,,169.2,135.813119
202403.0,2024-03-09,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,115.705367
202403.0,2024-03-09,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,115.705367
,2024-03-09,,PLASZOM APE,,,169.2,115.705367
202403.0,2024-03-10,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,65.661522
202403.0,2024-03-10,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,65.661522
,2024-03-10,,PLASZOM APE,,,169.2,65.661522
202403.0,2024-03-11,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,124.337194
202403.0,2024-03-11,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,124.337194
,2024-03-11,,PLASZOM APE,,,169.2,124.337194
202403.0,2024-03-12,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,141.88418
202403.0,2024-03-12,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,141.88418
,2024-03-12,,PLASZOM APE,,,169.2,141.88418
202403.0,2024-03-13,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,132.543665
202403.0,2024-03-13,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,132.543665
,2024-03-13,,PLASZOM APE,,,169.2,132.543665
202403.0,2024-03-14,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.959494
202403.0,2024-03-14,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.959494
,2024-03-14,,PLASZOM APE,,,169.2,137.959494
202403.0,2024-03-15,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,143.136297
202403.0,2024-03-15,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,143.136297
,2024-03-15,,PLASZOM APE,,,169.2,143.136297
202403.0,2024-03-16,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,114.859209
202403.0,2024-03-16,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,114.859209
,2024-03-16,,PLASZOM APE,,,169.2,114.859209
202403.0,2024-03-17,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,59.668352
202403.0,2024-03-17,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,59.668352
,2024-03-17,,PLASZOM APE,,,169.2,59.668352
202403.0,2024-03-18,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,125.731293
202403.0,2024-03-18,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,125.731293
,2024-03-18,,PLASZOM APE,,,169.2,125.731293
202403.0,2024-03-19,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,143.24668
202403.0,2024-03-19,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,143.24668
,2024-03-19,,PLASZOM APE,,,169.2,143.24668
202403.0,2024-03-20,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.796878
202403.0,2024-03-20,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.796878
,2024-03-20,,PLASZOM APE,,,169.2,137.796878
202403.0,2024-03-21,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,135.670424
202403.0,2024-03-21,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,135.670424
,2024-03-21,,PLASZOM APE,,,169.2,135.670424
202403.0,2024-03-22,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.820871
202403.0,2024-03-22,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,137.820871
,2024-03-22,,PLASZOM APE,,,169.2,137.820871
202403.0,2024-03-23,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,109.812052
202403.0,2024-03-23,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,109.812052
,2024-03-23,,PLASZOM APE,,,169.2,109.812052
202403.0,2024-03-24,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,56.522355
202403.0,2024-03-24,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,56.522355
,2024-03-24,,PLASZOM APE,,,169.2,56.522355
202403.0,2024-03-25,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,114.504352
202403.0,2024-03-25,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,114.504352
,2024-03-25,,PLASZOM APE,,,169.2,114.504352
202403.0,2024-03-26,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.764873
202403.0,2024-03-26,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.764873
,2024-03-26,,PLASZOM APE,,,169.2,134.764873
202403.0,2024-03-27,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.46364
202403.0,2024-03-27,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.46364
,2024-03-27,,PLASZOM APE,,,169.2,134.46364
202403.0,2024-03-28,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.040327
202403.0,2024-03-28,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,134.040327
,2024-03-28,,PLASZOM APE,,,169.2,134.040327
202403.0,2024-03-29,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,120.445502
202403.0,2024-03-29,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,120.445502
,2024-03-29,,PLASZOM APE,,,169.2,120.445502
202403.0,2024-03-30,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,81.773316
202403.0,2024-03-30,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,81.773316
,2024-03-30,,PLASZOM APE,,,169.2,81.773316
202403.0,2024-03-31,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,50.835635
202403.0,2024-03-31,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,50.835635
,2024-03-31,,PLASZOM APE,,,169.2,50.835635
202404.0,2024-04-01,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,99.818051
202404.0,2024-04-01,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,99.818051
,2024-04-01,,PLASZOM APE,,,169.2,99.818051
202404.0,2024-04-02,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,127.331581
202404.0,2024-04-02,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,127.331581
,2024-04-02,,PLASZOM APE,,,169.2,127.331581
202404.0,2024-04-03,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,124.642382
202404.0,2024-04-03,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,124.642382
,2024-04-03,,PLASZOM APE,,,169.2,124.642382
202404.0,2024-04-04,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.160271
202404.0,2024-04-04,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.160271
,2024-04-04,,PLASZOM APE,,,169.2,128.160271
202404.0,2024-04-05,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,131.574034
202404.0,2024-04-05,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,131.574034
,2024-04-05,,PLASZOM APE,,,169.2,131.574034
202404.0,2024-04-06,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,111.300421
202404.0,2024-04-06,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,111.300421
,2024-04-06,,PLASZOM APE,,,169.2,111.300421
202404.0,2024-04-07,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,54.112418
202404.0,2024-04-07,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,54.112418
,2024-04-07,,PLASZOM APE,,,169.2,54.112418
202404.0,2024-04-08,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,115.633189
202404.0,2024-04-08,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,115.633189
,2024-04-08,,PLASZOM APE,,,169.2,115.633189
202404.0,2024-04-09,128238.0,PLASZOM APE,Autoprodutor,SUL,169.2,128.156454
