MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,1.328907
,2022-01-02,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,1.351634
,2022-01-03,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,21.31943
,2022-01-04,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.865806
,2022-01-05,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,36.259607
,2022-01-06,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.253825
,2022-01-07,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.05397
,2022-01-08,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,23.141292
,2022-01-09,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,5.463792
,2022-01-10,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,32.542575
,2022-01-11,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.205395
,2022-01-12,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,36.459497
,2022-01-13,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.296967
,2022-01-14,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,37.308934
,2022-01-15,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,31.61381
,2022-01-16,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,9.142825
,2022-01-17,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,31.396247
,2022-01-18,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.687257
,2022-01-19,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,37.136661
,2022-01-20,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.903584
,2022-01-21,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.35851
,2022-01-22,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,25.466563
,2022-01-23,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,11.909978
,2022-01-24,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,34.956053
,2022-01-25,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.372131
,2022-01-26,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.281295
,2022-01-27,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,36.599997
,2022-01-28,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.619149
,2022-01-29,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,29.06098
,2022-01-30,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,9.843511
,2022-01-31,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,26.082266
,2022-02-01,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,33.944506
,2022-02-02,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.134028
,2022-02-03,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,39.215057
,2022-02-04,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,41.265997
,2022-02-05,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,28.53054
,2022-02-06,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,12.25049
,2022-02-07,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.41344
,2022-02-08,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,40.080259
,2022-02-09,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.176986
,2022-02-10,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,35.908014
,2022-02-11,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,38.288261
,2022-02-12,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,32.072683
,2022-02-13,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,15.88597
,2022-02-14,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,37.085594
,2022-02-15,89605.0,POCHET CL 514,Consumidor Livre,SUDESTE,48.0,39.17089
