MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.24873
,2023-01-02,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.304909
,2023-01-03,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.444193
,2023-01-04,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.318602
,2023-01-05,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.636415
,2023-01-06,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.450226
,2023-01-07,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.72811
,2023-01-08,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.279449
,2023-01-09,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.205414
,2023-01-10,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.440743
,2023-01-11,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.479104
,2023-01-12,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.667677
,2023-01-13,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.865307
,2023-01-14,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.617981
,2023-01-15,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.350903
,2023-01-16,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.694062
,2023-01-17,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.717305
,2023-01-18,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.294188
,2023-01-19,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.659406
,2023-01-20,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.585162
,2023-01-21,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.39619
,2023-01-22,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.276497
,2023-01-23,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.935065
,2023-01-24,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.816007
,2023-01-25,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.339705
,2023-01-26,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.551479
,2023-01-27,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.428766
,2023-01-28,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.495985
,2023-01-29,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.2420479999999999
,2023-01-30,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.646659
,2023-01-31,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.763592
,2023-02-01,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.161621
,2023-02-02,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.217528
,2023-02-03,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.957165
,2023-02-04,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.944957
,2023-02-05,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.330715
,2023-02-06,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.423122
,2023-02-07,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.07702
,2023-02-08,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.512869
,2023-02-09,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.503498
,2023-02-10,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.055965
,2023-02-11,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,4.000425
,2023-02-12,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.3611209999999999
,2023-02-13,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.829496
,2023-02-14,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.574668
,2023-02-15,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.643062
,2023-02-16,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.754647
,2023-02-17,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,16.150109999999998
,2023-02-18,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,4.218552
,2023-02-19,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.341999
,2023-02-20,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.055682
,2023-02-21,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.494261
,2023-02-22,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.115056
,2023-02-23,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.397814
,2023-02-24,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,15.561739
,2023-02-25,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.719985
,2023-02-26,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.336527
,2023-02-27,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.865732
,2023-02-28,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.385904
,2023-03-01,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.94625
,2023-03-02,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.644559
,2023-03-03,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.918381
,2023-03-04,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.284718
,2023-03-05,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,0.317932
,2023-03-06,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,12.353719
,2023-03-07,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,14.270009
,2023-03-08,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.025036
,2023-03-09,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.37594
,2023-03-10,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,13.96623
,2023-03-11,100543.0,PROTORK MBECL 514 23,Consumidor Livre,SUL,22.8,3.442907
