MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,1.755358
,2022-01-02,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,2.265877
,2022-01-03,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.431672
,2022-01-04,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.707014
,2022-01-05,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,7.056663
,2022-01-06,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.488491
,2022-01-07,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,5.536128
,2022-01-08,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,5.499113
,2022-01-09,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,2.656645
,2022-01-10,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,5.819625
,2022-01-11,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.404709
,2022-01-12,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.026774
,2022-01-13,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,5.684077
,2022-01-14,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.333453
,2022-01-15,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,5.367711
,2022-01-16,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,2.662883
,2022-01-17,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.049248
,2022-01-18,98812.0,QUALITY ALIMENTOS,Consumidor Especial,SUDESTE,12.0,6.663954
