MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.552504
,2022-01-02,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.568911
,2022-01-03,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.655263
,2022-01-04,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.672448
,2022-01-05,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.019314
,2022-01-06,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.356575
,2022-01-07,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.567384
,2022-01-08,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.192139
,2022-01-09,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.635
,2022-01-10,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.739111999999999
,2022-01-11,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.857734
,2022-01-12,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.754459
,2022-01-13,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.705516999999999
,2022-01-14,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.716347
,2022-01-15,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.144777
,2022-01-16,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.625126
,2022-01-17,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.471743
,2022-01-18,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.844576
,2022-01-19,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.637394
,2022-01-20,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.584328
,2022-01-21,84408.0,RANEE,Consumidor Especial,SUL,18.0,5.492758
,2022-01-22,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.238049
,2022-01-23,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.638047
,2022-01-24,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.017418
,2022-01-25,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.444294
,2022-01-26,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.932227
,2022-01-27,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.680693
,2022-01-28,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.271408
,2022-01-29,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.609649
,2022-01-30,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.996727
,2022-01-31,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.052941
,2022-02-01,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.626821
,2022-02-02,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.948907
,2022-02-03,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.930802
,2022-02-04,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.603027
,2022-02-05,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.964037
,2022-02-06,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.653654
,2022-02-07,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.392901
,2022-02-08,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.465505
,2022-02-09,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.578158
,2022-02-10,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.342282
,2022-02-11,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.610654
,2022-02-12,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.931873
,2022-02-13,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.721465
,2022-02-14,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.063905
,2022-02-15,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.610819
,2022-02-16,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.810909
,2022-02-17,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.923873
,2022-02-18,84408.0,RANEE,Consumidor Especial,SUL,18.0,8.084583
,2022-02-19,84408.0,RANEE,Consumidor Especial,SUL,18.0,1.409492
,2022-02-20,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.691111
,2022-02-21,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.519486
,2022-02-22,84408.0,RANEE,Consumidor Especial,SUL,18.0,7.747595
,2022-02-23,84408.0,RANEE,Consumidor Especial,SUL,18.0,8.02738
,2022-02-24,84408.0,RANEE,Consumidor Especial,SUL,18.0,8.092037
,2022-02-25,84408.0,RANEE,Consumidor Especial,SUL,18.0,8.112635
,2022-02-26,84408.0,RANEE,Consumidor Especial,SUL,18.0,2.127579
,2022-02-27,84408.0,RANEE,Consumidor Especial,SUL,18.0,0.724965
