MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202407.0,2024-07-01,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.404525
202407.0,2024-07-01,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.404525
,2024-07-01,,RC 1 - PORTINARI,,,216.0,156.404525
202407.0,2024-07-02,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,126.899235
202407.0,2024-07-02,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,126.899235
,2024-07-02,,RC 1 - PORTINARI,,,216.0,126.899235
202407.0,2024-07-03,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,145.683999
202407.0,2024-07-03,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,145.683999
,2024-07-03,,RC 1 - PORTINARI,,,216.0,145.683999
202407.0,2024-07-04,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,153.02586
202407.0,2024-07-04,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,153.02586
,2024-07-04,,RC 1 - PORTINARI,,,216.0,153.02586
202407.0,2024-07-05,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,147.775551
202407.0,2024-07-05,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,147.775551
,2024-07-05,,RC 1 - PORTINARI,,,216.0,147.775551
202407.0,2024-07-06,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,149.492458
202407.0,2024-07-06,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,149.492458
,2024-07-06,,RC 1 - PORTINARI,,,216.0,149.492458
202407.0,2024-07-07,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,148.876072
202407.0,2024-07-07,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,148.876072
,2024-07-07,,RC 1 - PORTINARI,,,216.0,148.876072
202407.0,2024-07-08,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,143.218187
202407.0,2024-07-08,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,143.218187
,2024-07-08,,RC 1 - PORTINARI,,,216.0,143.218187
202407.0,2024-07-09,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,157.765052
202407.0,2024-07-09,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,157.765052
,2024-07-09,,RC 1 - PORTINARI,,,216.0,157.765052
202407.0,2024-07-10,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,135.152002
202407.0,2024-07-10,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,135.152002
,2024-07-10,,RC 1 - PORTINARI,,,216.0,135.152002
202407.0,2024-07-11,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,144.406574
202407.0,2024-07-11,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,144.406574
,2024-07-11,,RC 1 - PORTINARI,,,216.0,144.406574
202407.0,2024-07-12,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.984776
202407.0,2024-07-12,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.984776
,2024-07-12,,RC 1 - PORTINARI,,,216.0,156.984776
202407.0,2024-07-13,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,168.68916
202407.0,2024-07-13,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,168.68916
,2024-07-13,,RC 1 - PORTINARI,,,216.0,168.68916
202407.0,2024-07-14,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,153.800437
202407.0,2024-07-14,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,153.800437
,2024-07-14,,RC 1 - PORTINARI,,,216.0,153.800437
202407.0,2024-07-15,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,146.028558
202407.0,2024-07-15,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,146.028558
,2024-07-15,,RC 1 - PORTINARI,,,216.0,146.028558
202407.0,2024-07-16,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,152.43522
202407.0,2024-07-16,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,152.43522
,2024-07-16,,RC 1 - PORTINARI,,,216.0,152.43522
202407.0,2024-07-17,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,158.902432
202407.0,2024-07-17,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,158.902432
,2024-07-17,,RC 1 - PORTINARI,,,216.0,158.902432
202407.0,2024-07-18,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.981974
202407.0,2024-07-18,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.981974
,2024-07-18,,RC 1 - PORTINARI,,,216.0,156.981974
202407.0,2024-07-19,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.65283300000002
202407.0,2024-07-19,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.65283300000002
,2024-07-19,,RC 1 - PORTINARI,,,216.0,161.65283300000002
202407.0,2024-07-20,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,171.284565
202407.0,2024-07-20,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,171.284565
,2024-07-20,,RC 1 - PORTINARI,,,216.0,171.284565
202407.0,2024-07-21,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,136.838746
202407.0,2024-07-21,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,136.838746
,2024-07-21,,RC 1 - PORTINARI,,,216.0,136.838746
202407.0,2024-07-22,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,176.01872600000002
202407.0,2024-07-22,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,176.01872600000002
,2024-07-22,,RC 1 - PORTINARI,,,216.0,176.01872600000002
202407.0,2024-07-23,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.862954
202407.0,2024-07-23,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.862954
,2024-07-23,,RC 1 - PORTINARI,,,216.0,161.862954
202407.0,2024-07-24,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,148.287907
202407.0,2024-07-24,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,148.287907
,2024-07-24,,RC 1 - PORTINARI,,,216.0,148.287907
202407.0,2024-07-25,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.121286
202407.0,2024-07-25,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.121286
,2024-07-25,,RC 1 - PORTINARI,,,216.0,156.121286
202407.0,2024-07-26,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,127.299488
202407.0,2024-07-26,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,127.299488
,2024-07-26,,RC 1 - PORTINARI,,,216.0,127.299488
202407.0,2024-07-27,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.088593
202407.0,2024-07-27,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,156.088593
,2024-07-27,,RC 1 - PORTINARI,,,216.0,156.088593
202407.0,2024-07-28,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,160.476036
202407.0,2024-07-28,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,160.476036
,2024-07-28,,RC 1 - PORTINARI,,,216.0,160.476036
202407.0,2024-07-29,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,171.309751
202407.0,2024-07-29,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,171.309751
,2024-07-29,,RC 1 - PORTINARI,,,216.0,171.309751
202407.0,2024-07-30,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,149.748455
202407.0,2024-07-30,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,149.748455
,2024-07-30,,RC 1 - PORTINARI,,,216.0,149.748455
202407.0,2024-07-31,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,160.413555
202407.0,2024-07-31,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,160.413555
,2024-07-31,,RC 1 - PORTINARI,,,216.0,160.413555
202408.0,2024-08-01,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.904843
202408.0,2024-08-01,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,161.904843
,2024-08-01,,RC 1 - PORTINARI,,,216.0,161.904843
202408.0,2024-08-02,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,164.880375
202408.0,2024-08-02,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,164.880375
,2024-08-02,,RC 1 - PORTINARI,,,216.0,164.880375
202408.0,2024-08-03,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,163.547391
202408.0,2024-08-03,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,163.547391
,2024-08-03,,RC 1 - PORTINARI,,,216.0,163.547391
202408.0,2024-08-04,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,128.346298
202408.0,2024-08-04,139908.0,RC 1 - PORTINARI,Consumidor Livre,SUL,216.0,128.346298
