MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,1.085994
,2022-01-02,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,1.106588
,2022-01-03,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,11.710562
,2022-01-04,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,14.894857
,2022-01-05,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,14.702591
,2022-01-06,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,15.69733
,2022-01-07,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,15.571996
,2022-01-08,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,14.825345
,2022-01-09,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,3.830138
,2022-01-10,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,14.802117
,2022-01-11,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,18.091279
,2022-01-12,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,18.678768
,2022-01-13,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,18.220118
,2022-01-14,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,17.228409
,2022-01-15,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,15.284328
,2022-01-16,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,1.285587
,2022-01-17,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,17.05422
,2022-01-18,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,13.930884
,2022-01-19,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,12.481523
,2022-01-20,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,11.116049
,2022-01-21,31814.0,SAOJOAOEVANGELISTA CL 514,Consumidor Livre,SUDESTE,32.64,11.868601
