MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202409.0,2024-09-01,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,31.758449
202409.0,2024-09-01,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,31.758449
,2024-09-01,,SCHEFFER TRES LAGOAS,,,48.0,31.758449
202409.0,2024-09-02,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,34.049416
202409.0,2024-09-02,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,34.049416
,2024-09-02,,SCHEFFER TRES LAGOAS,,,48.0,34.049416
202409.0,2024-09-03,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,34.799329
202409.0,2024-09-03,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,34.799329
,2024-09-03,,SCHEFFER TRES LAGOAS,,,48.0,34.799329
202409.0,2024-09-04,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.424036
202409.0,2024-09-04,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.424036
,2024-09-04,,SCHEFFER TRES LAGOAS,,,48.0,35.424036
202409.0,2024-09-05,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,33.64417
202409.0,2024-09-05,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,33.64417
,2024-09-05,,SCHEFFER TRES LAGOAS,,,48.0,33.64417
202409.0,2024-09-06,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.813901
202409.0,2024-09-06,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.813901
,2024-09-06,,SCHEFFER TRES LAGOAS,,,48.0,35.813901
202409.0,2024-09-07,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,36.01246
202409.0,2024-09-07,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,36.01246
,2024-09-07,,SCHEFFER TRES LAGOAS,,,48.0,36.01246
202409.0,2024-09-08,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,38.959845
202409.0,2024-09-08,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,38.959845
,2024-09-08,,SCHEFFER TRES LAGOAS,,,48.0,38.959845
202409.0,2024-09-09,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,32.33297
202409.0,2024-09-09,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,32.33297
,2024-09-09,,SCHEFFER TRES LAGOAS,,,48.0,32.33297
202409.0,2024-09-10,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,36.129976
202409.0,2024-09-10,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,36.129976
,2024-09-10,,SCHEFFER TRES LAGOAS,,,48.0,36.129976
202409.0,2024-09-11,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.713861
202409.0,2024-09-11,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.713861
,2024-09-11,,SCHEFFER TRES LAGOAS,,,48.0,35.713861
202409.0,2024-09-12,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.337925
202409.0,2024-09-12,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,35.337925
,2024-09-12,,SCHEFFER TRES LAGOAS,,,48.0,35.337925
202409.0,2024-09-13,90584.0,SCHEFFER TRES LAGOAS,Consumidor Livre,SUDESTE,48.0,30.561612
