MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202409.0,2024-09-01,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,1.368438
202409.0,2024-09-01,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,1.368438
,2024-09-01,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,1.368438
202409.0,2024-09-02,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.359296
202409.0,2024-09-02,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.359296
,2024-09-02,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.359296
202409.0,2024-09-03,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.639689
202409.0,2024-09-03,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.639689
,2024-09-03,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.639689
202409.0,2024-09-04,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.525806
202409.0,2024-09-04,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.525806
,2024-09-04,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.525806
202409.0,2024-09-05,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.664103
202409.0,2024-09-05,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.664103
,2024-09-05,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.664103
202409.0,2024-09-06,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.81538
202409.0,2024-09-06,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.81538
,2024-09-06,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.81538
202409.0,2024-09-07,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.316428
202409.0,2024-09-07,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,2.316428
,2024-09-07,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,2.316428
202409.0,2024-09-08,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,1.852887
202409.0,2024-09-08,149520.0,SCHIOPPA LICIO DE MIRANDA EI,Consumidor Especial,SUDESTE,4.32,1.852887
,2024-09-08,,SCHIOPPA LICIO DE MIRANDA EI,,,4.32,1.852887
