MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-04-01,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.130637
,2023-04-02,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.162716
,2023-04-03,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.212373
,2023-04-04,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.702396
,2023-04-05,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.864517
,2023-04-06,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.346106
,2023-04-07,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.525816
,2023-04-08,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.573895
,2023-04-09,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.521767
,2023-04-10,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.564229
,2023-04-11,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.731761
,2023-04-12,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.153164
,2023-04-13,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,0.86216
,2023-04-14,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.6681
,2023-04-15,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.133212
,2023-04-16,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.564973
,2023-04-17,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.4624
,2023-04-18,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,1.931378
,2023-04-19,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.070748
,2023-04-20,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.194782
,2023-04-21,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.520535
,2023-04-22,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.768575
,2023-04-23,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.75415
,2023-04-24,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.774279
,2023-04-25,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.626407
,2023-04-26,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.816509
,2023-04-27,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.794468
,2023-04-28,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.87767
,2023-04-29,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.449375
,2023-04-30,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.592607
,2023-05-01,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.809549
,2023-05-02,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,3.038732
,2023-05-03,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,3.011094
,2023-05-04,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.313493
,2023-05-05,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.430479
,2023-05-06,104016.0,SCHOELER SUINOS JAGUARIAIVA,Consumidor Especial,SUL,6.0,2.336554
