MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,1.25277
,2023-01-02,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,3.428516
,2023-01-03,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,3.633067
,2023-01-04,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,3.520079
,2023-01-05,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,3.167203
,2023-01-06,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,2.867478
,2023-01-07,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,1.320697
,2023-01-08,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,1.868332
,2023-01-09,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.178848
,2023-01-10,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.513008
,2023-01-11,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.643559
,2023-01-12,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.910257
,2023-01-13,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.016428
,2023-01-14,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,4.959827
,2023-01-15,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,2.014732
,2023-01-16,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.12611
,2023-01-17,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.384687
,2023-01-18,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.268008
,2023-01-19,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.245345
,2023-01-20,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.026755
,2023-01-21,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,5.432144
,2023-01-22,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,2.135926
,2023-01-23,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.404852
,2023-01-24,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.14126
,2023-01-25,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.223423
,2023-01-26,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.202539
,2023-01-27,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.212106
,2023-01-28,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,5.147851
,2023-01-29,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,1.627781
,2023-01-30,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.294751
,2023-01-31,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.065908
,2023-02-01,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.095592
,2023-02-02,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,8.207218
,2023-02-03,48966.0,SIGVARIS CL 514,Consumidor Livre,SUDESTE,12.0,7.97464
