MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,0.35297
,2023-01-02,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,1.849437
,2023-01-03,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.442239
,2023-01-04,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.668806
,2023-01-05,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.544482
,2023-01-06,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.446964
,2023-01-07,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.366286
,2023-01-08,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,0.362887
,2023-01-09,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,4.236074
,2023-01-10,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.4966230000000005
,2023-01-11,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.213767
,2023-01-12,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,4.833107
,2023-01-13,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.40138
,2023-01-14,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,4.811108
,2023-01-15,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,0.360573
,2023-01-16,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,3.841775
,2023-01-17,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.756353
,2023-01-18,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.784768
,2023-01-19,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.938525
,2023-01-20,51222.0,SINTER OURO FINO CL 514,Consumidor Livre,SUDESTE,14.4,5.970416
