MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,0.141825
,2022-01-02,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,0.144921
,2022-01-03,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.791513
,2022-01-04,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.184424
,2022-01-05,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.877652
,2022-01-06,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.518319
,2022-01-07,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.423395
,2022-01-08,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,0.108598
,2022-01-09,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,0.141099
,2022-01-10,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.419318
,2022-01-11,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.562382
,2022-01-12,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.242427
,2022-01-13,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.482895
,2022-01-14,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.801728
,2022-01-15,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.558085
,2022-01-16,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.986406
,2022-01-17,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.4296
,2022-01-18,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.653131
,2022-01-19,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.356541
,2022-01-20,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.931783
,2022-01-21,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.461505
,2022-01-22,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.17191
,2022-01-23,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.164809
,2022-01-24,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.806358
,2022-01-25,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.708254
,2022-01-26,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.197131
,2022-01-27,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.36619
,2022-01-28,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.91254
,2022-01-29,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.306567
,2022-01-30,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.604757
,2022-01-31,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.059651
,2022-02-01,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,4.20313
,2022-02-02,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.158079
,2022-02-03,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,3.385194
,2022-02-04,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.66737
,2022-02-05,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,2.135374
,2022-02-06,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,0.181337
,2022-02-07,94982.0,STA BARBARA 1,Consumidor Especial,SUL,6.84,1.544726
