MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.260251
,2022-01-02,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.339787
,2022-01-03,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,10.30612
,2022-01-04,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.749325
,2022-01-05,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.61349
,2022-01-06,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.662132
,2022-01-07,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.601188
,2022-01-08,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,4.169547
,2022-01-09,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.055583
,2022-01-10,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,5.861165
,2022-01-11,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,6.449956
,2022-01-12,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.209265999999999
,2022-01-13,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.079211
,2022-01-14,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.302464
,2022-01-15,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,3.925943
,2022-01-16,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.337542
,2022-01-17,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.407608
,2022-01-18,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.192302
,2022-01-19,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.759248
,2022-01-20,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.76587
,2022-01-21,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.404914
,2022-01-22,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,3.088201
,2022-01-23,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.28121
,2022-01-24,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.877459
,2022-01-25,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.872886
,2022-01-26,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.620595
,2022-01-27,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.712708
,2022-01-28,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.880727
,2022-01-29,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,3.032717
,2022-01-30,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.567925
,2022-01-31,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.793727
,2022-02-01,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.894019
,2022-02-02,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.605275
,2022-02-03,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.566323
,2022-02-04,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.624576
,2022-02-05,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.791583
,2022-02-06,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,3.0266610000000003
,2022-02-07,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.322359
,2022-02-08,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.595444
,2022-02-09,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.671266
,2022-02-10,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.736552
,2022-02-11,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,6.779598
,2022-02-12,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,1.793201
,2022-02-13,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,2.123322
,2022-02-14,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.701882
,2022-02-15,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,9.068173
,2022-02-16,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.818361
,2022-02-17,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,8.871074
,2022-02-18,24819.0,SUBSEA7,Consumidor Especial,SUDESTE,21.6,7.823868
