MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,34.351571
,2022-01-02,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,46.847609
,2022-01-03,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,54.224628
,2022-01-04,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,53.891945
,2022-01-05,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,54.670238
,2022-01-06,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,52.759922
,2022-01-07,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,48.489206
,2022-01-08,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,46.280964
,2022-01-09,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,41.091814
,2022-01-10,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,44.915243
,2022-01-11,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,46.606953
,2022-01-12,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,51.568213
,2022-01-13,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,52.157459
,2022-01-14,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,56.044341
,2022-01-15,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,55.136481
,2022-01-16,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,48.797768
,2022-01-17,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,56.192921
,2022-01-18,65644.0,SUPERMERCADOS VIANENSE,Consumidor Especial,SUDESTE,79.704,56.692973
