MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202407.0,2024-07-01,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.096519
202407.0,2024-07-01,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.096519
,2024-07-01,,TABAL,,,16.799999999999997,4.096519
202407.0,2024-07-02,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.628819
202407.0,2024-07-02,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.628819
,2024-07-02,,TABAL,,,16.799999999999997,4.628819
202407.0,2024-07-03,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.403736
202407.0,2024-07-03,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.403736
,2024-07-03,,TABAL,,,16.799999999999997,3.403736
202407.0,2024-07-04,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.05759
202407.0,2024-07-04,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.05759
,2024-07-04,,TABAL,,,16.799999999999997,5.05759
202407.0,2024-07-05,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.904383
202407.0,2024-07-05,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.904383
,2024-07-05,,TABAL,,,16.799999999999997,4.904383
202407.0,2024-07-06,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.46096
202407.0,2024-07-06,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.46096
,2024-07-06,,TABAL,,,16.799999999999997,0.46096
202407.0,2024-07-07,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.24289
202407.0,2024-07-07,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.24289
,2024-07-07,,TABAL,,,16.799999999999997,0.24289
202407.0,2024-07-08,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.796901
202407.0,2024-07-08,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.796901
,2024-07-08,,TABAL,,,16.799999999999997,3.796901
202407.0,2024-07-09,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.919005
202407.0,2024-07-09,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.919005
,2024-07-09,,TABAL,,,16.799999999999997,4.919005
202407.0,2024-07-10,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.035032
202407.0,2024-07-10,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.035032
,2024-07-10,,TABAL,,,16.799999999999997,5.035032
202407.0,2024-07-11,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.257269
202407.0,2024-07-11,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.257269
,2024-07-11,,TABAL,,,16.799999999999997,4.257269
202407.0,2024-07-12,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.218367
202407.0,2024-07-12,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.218367
,2024-07-12,,TABAL,,,16.799999999999997,3.218367
202407.0,2024-07-13,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.488212
202407.0,2024-07-13,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.488212
,2024-07-13,,TABAL,,,16.799999999999997,0.488212
202407.0,2024-07-14,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.213197
202407.0,2024-07-14,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.213197
,2024-07-14,,TABAL,,,16.799999999999997,0.213197
202407.0,2024-07-15,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.29862
202407.0,2024-07-15,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.29862
,2024-07-15,,TABAL,,,16.799999999999997,4.29862
202407.0,2024-07-16,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.550434
202407.0,2024-07-16,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.550434
,2024-07-16,,TABAL,,,16.799999999999997,3.550434
202407.0,2024-07-17,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.151666
202407.0,2024-07-17,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.151666
,2024-07-17,,TABAL,,,16.799999999999997,5.151666
202407.0,2024-07-18,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.307432
202407.0,2024-07-18,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.307432
,2024-07-18,,TABAL,,,16.799999999999997,4.307432
202407.0,2024-07-19,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.12938
202407.0,2024-07-19,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.12938
,2024-07-19,,TABAL,,,16.799999999999997,5.12938
202407.0,2024-07-20,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.481166
202407.0,2024-07-20,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.481166
,2024-07-20,,TABAL,,,16.799999999999997,0.481166
202407.0,2024-07-21,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.257963
202407.0,2024-07-21,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.257963
,2024-07-21,,TABAL,,,16.799999999999997,0.257963
202407.0,2024-07-22,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,2.67673
202407.0,2024-07-22,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,2.67673
,2024-07-22,,TABAL,,,16.799999999999997,2.67673
202407.0,2024-07-23,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.663099
202407.0,2024-07-23,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.663099
,2024-07-23,,TABAL,,,16.799999999999997,3.663099
202407.0,2024-07-24,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.866687
202407.0,2024-07-24,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.866687
,2024-07-24,,TABAL,,,16.799999999999997,4.866687
202407.0,2024-07-25,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.231394
202407.0,2024-07-25,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,5.231394
,2024-07-25,,TABAL,,,16.799999999999997,5.231394
202407.0,2024-07-26,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.936764
202407.0,2024-07-26,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.936764
,2024-07-26,,TABAL,,,16.799999999999997,4.936764
202407.0,2024-07-27,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.474505
202407.0,2024-07-27,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.474505
,2024-07-27,,TABAL,,,16.799999999999997,0.474505
202407.0,2024-07-28,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.244404
202407.0,2024-07-28,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,0.244404
,2024-07-28,,TABAL,,,16.799999999999997,0.244404
202407.0,2024-07-29,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.026894
202407.0,2024-07-29,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,3.026894
,2024-07-29,,TABAL,,,16.799999999999997,3.026894
202407.0,2024-07-30,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.735667
202407.0,2024-07-30,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.735667
,2024-07-30,,TABAL,,,16.799999999999997,4.735667
202407.0,2024-07-31,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.668768
202407.0,2024-07-31,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.668768
,2024-07-31,,TABAL,,,16.799999999999997,4.668768
202408.0,2024-08-01,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.349326
202408.0,2024-08-01,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.349326
,2024-08-01,,TABAL,,,16.799999999999997,4.349326
202408.0,2024-08-02,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.341915
202408.0,2024-08-02,124199.0,TABAL,Consumidor Especial,NORTE,16.799999999999997,4.341915
,2024-08-02,,TABAL,,,16.799999999999997,4.341915
