MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202406.0,2024-06-01,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.842151
202406.0,2024-06-01,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.842151
,2024-06-01,,TECLAV CL 514 SE,,,12.0,3.842151
202406.0,2024-06-02,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.3667
202406.0,2024-06-02,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.3667
,2024-06-02,,TECLAV CL 514 SE,,,12.0,3.3667
202406.0,2024-06-03,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,4.544916
202406.0,2024-06-03,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,4.544916
,2024-06-03,,TECLAV CL 514 SE,,,12.0,4.544916
202406.0,2024-06-04,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.272452
202406.0,2024-06-04,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.272452
,2024-06-04,,TECLAV CL 514 SE,,,12.0,5.272452
202406.0,2024-06-05,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.329441
202406.0,2024-06-05,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.329441
,2024-06-05,,TECLAV CL 514 SE,,,12.0,5.329441
202406.0,2024-06-06,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.487283
202406.0,2024-06-06,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.487283
,2024-06-06,,TECLAV CL 514 SE,,,12.0,5.487283
202406.0,2024-06-07,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.285433
202406.0,2024-06-07,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.285433
,2024-06-07,,TECLAV CL 514 SE,,,12.0,5.285433
202406.0,2024-06-08,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.491987
202406.0,2024-06-08,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.491987
,2024-06-08,,TECLAV CL 514 SE,,,12.0,5.491987
202406.0,2024-06-09,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.484317
202406.0,2024-06-09,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.484317
,2024-06-09,,TECLAV CL 514 SE,,,12.0,3.484317
202406.0,2024-06-10,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,4.516316
202406.0,2024-06-10,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,4.516316
,2024-06-10,,TECLAV CL 514 SE,,,12.0,4.516316
202406.0,2024-06-11,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.28238
202406.0,2024-06-11,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.28238
,2024-06-11,,TECLAV CL 514 SE,,,12.0,5.28238
202406.0,2024-06-12,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.392183
202406.0,2024-06-12,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.392183
,2024-06-12,,TECLAV CL 514 SE,,,12.0,5.392183
202406.0,2024-06-13,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.667315
202406.0,2024-06-13,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.667315
,2024-06-13,,TECLAV CL 514 SE,,,12.0,5.667315
202406.0,2024-06-14,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.64882
202406.0,2024-06-14,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.64882
,2024-06-14,,TECLAV CL 514 SE,,,12.0,5.64882
202406.0,2024-06-15,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.313915
202406.0,2024-06-15,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.313915
,2024-06-15,,TECLAV CL 514 SE,,,12.0,5.313915
202406.0,2024-06-16,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.617605
202406.0,2024-06-16,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,3.617605
,2024-06-16,,TECLAV CL 514 SE,,,12.0,3.617605
202406.0,2024-06-17,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.317882
202406.0,2024-06-17,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.317882
,2024-06-17,,TECLAV CL 514 SE,,,12.0,5.317882
202406.0,2024-06-18,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.60023
202406.0,2024-06-18,140148.0,TECLAV CL 514 SE,Consumidor Livre,SUDESTE,12.0,5.60023
