MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,35.271758
,2022-01-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,75.966401
,2022-01-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,116.721843
,2022-01-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,144.829597
,2022-01-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,154.575841
,2022-01-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,151.222434
,2022-01-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,109.899446
,2022-01-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.245957
,2022-01-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,96.51187
,2022-01-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,34.640271
,2022-01-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,42.831294
,2022-01-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,73.68287000000001
,2022-01-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,143.446424
,2022-01-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,147.927883
,2022-01-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,139.43357
,2022-01-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.727428
,2022-01-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.803097
,2022-01-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,131.134438
,2022-01-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,139.404849
,2022-01-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,157.176553
,2022-01-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,150.837275
,2022-01-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,130.311678
,2022-01-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.47683
,2022-01-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.600775
,2022-01-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,133.691018
,2022-01-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,120.835037
,2022-01-27,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,140.97159
,2022-01-28,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,145.599669
,2022-01-29,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.075007
,2022-01-30,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.156122
,2022-01-31,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,106.604589
,2022-02-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,122.628279
,2022-02-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,144.91313
,2022-02-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,158.354514
,2022-02-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,112.490858
,2022-02-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,127.499488
,2022-02-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,115.812821
,2022-02-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,109.9274
,2022-02-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,133.688477
,2022-02-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,142.751629
,2022-02-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,131.187721
,2022-02-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.427465
,2022-02-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.468092
,2022-02-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,96.33571
,2022-02-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,100.396622
,2022-02-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,112.841038
,2022-02-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.403148
,2022-02-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.973873
,2022-02-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.694514
,2022-02-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.023621
,2022-02-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,86.641541
,2022-02-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,53.892316
,2022-02-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,60.862613
,2022-02-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,70.966811
,2022-02-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,80.997637
,2022-02-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,112.186666
,2022-02-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,110.792861
,2022-02-27,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,98.040797
,2022-02-28,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.44341
,2022-03-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,109.874517
,2022-03-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,124.758266
,2022-03-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,141.353237
,2022-03-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,146.571537
,2022-03-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,137.812525
,2022-03-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,92.633624
,2022-03-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.759803
,2022-03-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.906677
,2022-03-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.353691
,2022-03-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,110.787553
,2022-03-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,105.640585
,2022-03-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,103.139266
,2022-03-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.817247
,2022-03-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,86.97479
,2022-03-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.122271
,2022-03-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,110.995727
,2022-03-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.387269
,2022-03-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,105.479659
,2022-03-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,106.416402
,2022-03-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,96.778874
,2022-03-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,111.614789
,2022-03-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,88.856457
,2022-03-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,118.885323
,2022-03-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,156.51919
,2022-03-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,145.835233
,2022-03-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,122.283372
,2022-03-27,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,108.438118
,2022-03-28,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.103817
,2022-03-29,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.406228
,2022-03-30,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,103.267874
,2022-03-31,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.565574
,2022-04-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.540789
,2022-04-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,101.54849
,2022-04-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,98.123093
,2022-04-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.482091
,2022-04-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.039776
,2022-04-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.206157
,2022-04-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,91.654599
,2022-04-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.525288
,2022-04-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.680725
,2022-04-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,101.086491
,2022-04-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,119.79475
,2022-04-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,121.826102
,2022-04-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,142.911402
,2022-04-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,144.912076
,2022-04-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,132.03098
,2022-04-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.228231
,2022-04-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.670872
,2022-04-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.673555
,2022-04-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,127.869144
,2022-04-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,127.986914
,2022-04-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,39.982028
,2022-04-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,79.704135
,2022-04-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.115288
,2022-04-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,84.15565600000001
,2022-04-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.146252
,2022-04-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,135.781348
,2022-04-27,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,135.432364
,2022-04-28,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,146.946889
,2022-04-29,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,150.806412
,2022-04-30,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,146.227591
,2022-05-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.527882
,2022-05-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,109.024006
,2022-05-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,112.167166
,2022-05-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,125.80352
,2022-05-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,150.284932
,2022-05-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,146.170847
,2022-05-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,127.30949
,2022-05-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,94.410589
,2022-05-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,106.891534
,2022-05-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,96.783102
,2022-05-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,141.780394
,2022-05-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,119.696052
,2022-05-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,120.673496
,2022-05-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,138.506792
,2022-05-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.719743
,2022-05-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,116.607045
,2022-05-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,132.743414
,2022-05-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,136.499309
,2022-05-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,133.417209
,2022-05-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,116.224218
,2022-05-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.085563
,2022-05-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,94.087769
,2022-05-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,94.521479
,2022-05-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.324986
,2022-05-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,150.875885
,2022-05-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,137.194823
,2022-05-27,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,143.267251
,2022-05-28,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,135.636978
,2022-05-29,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.567102
,2022-05-30,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.696789
,2022-05-31,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,131.265352
,2022-06-01,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,143.102975
,2022-06-02,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,141.171148
,2022-06-03,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,145.177828
,2022-06-04,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,103.537432
,2022-06-05,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,96.770647
,2022-06-06,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,104.47003
,2022-06-07,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,102.639714
,2022-06-08,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,105.626417
,2022-06-09,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,95.707568
,2022-06-10,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,69.75023300000001
,2022-06-11,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,90.644758
,2022-06-12,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,85.679744
,2022-06-13,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,91.214627
,2022-06-14,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,136.982183
,2022-06-15,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,139.814258
,2022-06-16,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,67.252753
,2022-06-17,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.228452
,2022-06-18,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,92.59399
,2022-06-19,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,99.295313
,2022-06-20,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.791594
,2022-06-21,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,107.329767
,2022-06-22,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,126.765171
,2022-06-23,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,143.624656
,2022-06-24,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,139.449961
,2022-06-25,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,134.283146
,2022-06-26,6142.0,TETRA PAK CL S,Consumidor Livre,SUL,170.39999999999998,97.421341
