MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-07-01,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-02,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-03,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-04,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-05,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-06,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,7244.148379
,2022-07-07,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,2168.353354
,2022-07-08,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,11092.760388
,2022-07-09,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,7518.830704
,2022-07-10,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-11,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,7529.858204
,2022-07-12,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,9130.960762
,2022-07-13,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,4624.301497
,2022-07-14,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,3524.442915
,2022-07-15,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,2601.486404
,2022-07-16,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-17,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-18,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-19,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-20,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-21,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-22,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-23,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-24,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-25,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-26,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-27,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-28,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-29,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-30,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-07-31,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-01,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-02,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-03,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-04,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-05,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-06,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-07,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-08,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-09,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-10,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-11,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-12,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-13,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-14,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-15,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-16,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-17,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-18,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-19,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-20,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-21,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-22,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-23,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-24,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-25,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-26,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-27,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-28,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-29,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-30,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-08-31,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-09-01,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-09-02,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
,2022-09-03,97967.0,TRADENER EXP URU,Exportador,SUL,52800.0,0.0
