MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,2.414684
,2022-01-02,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,4.902767
,2022-01-03,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.804088
,2022-01-04,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.495389
,2022-01-05,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.467025
,2022-01-06,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.52197
,2022-01-07,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.053011
,2022-01-08,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.271519
,2022-01-09,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.269449
,2022-01-10,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.140968
,2022-01-11,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.838554
,2022-01-12,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.384311
,2022-01-13,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.74598
,2022-01-14,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.831147
,2022-01-15,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.981059
,2022-01-16,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,3.190472
,2022-01-17,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.675028
,2022-01-18,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.655017
,2022-01-19,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.209709
,2022-01-20,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.140856
,2022-01-21,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.289204
,2022-01-22,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.278284
,2022-01-23,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,4.057879
,2022-01-24,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.9507
,2022-01-25,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.380443
,2022-01-26,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.337497
,2022-01-27,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.121837
,2022-01-28,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.962298
,2022-01-29,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,13.995879
,2022-01-30,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,3.26745
,2022-01-31,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.866303
,2022-02-01,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.112694
,2022-02-02,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.99136
,2022-02-03,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.661022
,2022-02-04,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.495376
,2022-02-05,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.400272
,2022-02-06,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,3.611146
,2022-02-07,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.931894
,2022-02-08,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.085928
,2022-02-09,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,13.802392
,2022-02-10,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.407717
,2022-02-11,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.954745
,2022-02-12,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,14.889926
,2022-02-13,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,4.166143
,2022-02-14,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.753537
,2022-02-15,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,16.396888
,2022-02-16,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.751985
,2022-02-17,34852.0,TROMB SACOS CL,Consumidor Livre,SUL,24.36,15.425377
