MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.5223640000000005
,2022-01-02,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.626527
,2022-01-03,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.926466
,2022-01-04,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.372915
,2022-01-05,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.191752
,2022-01-06,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.30403
,2022-01-07,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.689737000000001
,2022-01-08,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.40983
,2022-01-09,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.805512
,2022-01-10,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.447144
,2022-01-11,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.444883
,2022-01-12,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.747127
,2022-01-13,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.139807
,2022-01-14,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.110516
,2022-01-15,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.456917
,2022-01-16,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.973739
,2022-01-17,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.798215
,2022-01-18,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.195549
,2022-01-19,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.834541
,2022-01-20,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.885829
,2022-01-21,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.959987
,2022-01-22,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.60164
,2022-01-23,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.143648
,2022-01-24,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.766065
,2022-01-25,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,7.391137
,2022-01-26,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.490084
,2022-01-27,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.84791
,2022-01-28,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.422864
,2022-01-29,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.268768
,2022-01-30,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.39633
,2022-01-31,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.213967
,2022-02-01,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.351688
,2022-02-02,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.116992
,2022-02-03,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.309046
,2022-02-04,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.606019
,2022-02-05,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.371248
,2022-02-06,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.895014
,2022-02-07,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.435857
,2022-02-08,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.127847
,2022-02-09,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.128277
,2022-02-10,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.070113
,2022-02-11,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,8.825741
,2022-02-12,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.201704
,2022-02-13,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.162519
,2022-02-14,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.741809
,2022-02-15,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.506127
,2022-02-16,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.674273
,2022-02-17,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.201493
,2022-02-18,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,9.741588
,2022-02-19,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.161954
,2022-02-20,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.645888
,2022-02-21,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.162818
,2022-02-22,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.678254
,2022-02-23,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.512649
,2022-02-24,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.552004
,2022-02-25,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.392139
,2022-02-26,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.462756
,2022-02-27,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.9512540000000005
,2022-02-28,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.603275
,2022-03-01,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.135176
,2022-03-02,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.017074
,2022-03-03,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.348624
,2022-03-04,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.032842
,2022-03-05,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.525172
,2022-03-06,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.319799
,2022-03-07,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.218304
,2022-03-08,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.517773
,2022-03-09,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.419878
,2022-03-10,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.357375
,2022-03-11,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.717266
,2022-03-12,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,6.629869
,2022-03-13,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,5.823033
,2022-03-14,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,11.164455
,2022-03-15,28060.0,ULTRAPAR,Consumidor Livre,SUDESTE,36.0,10.938394
