MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.032416
,2023-01-02,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.85712
,2023-01-03,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.93573
,2023-01-04,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.680091
,2023-01-05,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.761144
,2023-01-06,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.373934
,2023-01-07,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.05792
,2023-01-08,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,5.878077
,2023-01-09,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.03278
,2023-01-10,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.394713
,2023-01-11,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.340156
,2023-01-12,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.352628
,2023-01-13,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.276249
,2023-01-14,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.002794
,2023-01-15,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.026984000000001
,2023-01-16,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.099095
,2023-01-17,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.91145
,2023-01-18,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.612592
,2023-01-19,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.897555
,2023-01-20,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.318027
,2023-01-21,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.907263
,2023-01-22,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,6.914276
,2023-01-23,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.447716
,2023-01-24,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.691071
,2023-01-25,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.08377
,2023-01-26,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.243603
,2023-01-27,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.153115
,2023-01-28,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.02248
,2023-01-29,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.248359
,2023-01-30,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.766056
,2023-01-31,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.28821
,2023-02-01,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.060365
,2023-02-02,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.217124
,2023-02-03,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.377471
,2023-02-04,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.846905
,2023-02-05,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,7.690289
,2023-02-06,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.531008
,2023-02-07,44573.0,UNIMED LIMEIRA CL 514,Consumidor Livre,SUDESTE,18.0,8.029755
