MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,17.824823
,2022-01-02,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,18.894843
,2022-01-03,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.908863
,2022-01-04,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.860207
,2022-01-05,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.283522
,2022-01-06,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.757139
,2022-01-07,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.456765
,2022-01-08,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.405713
,2022-01-09,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,16.241134
,2022-01-10,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,19.91284
,2022-01-11,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.986003
,2022-01-12,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.617826
,2022-01-13,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.749262
,2022-01-14,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,23.188095
,2022-01-15,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.351831
,2022-01-16,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,19.607774
,2022-01-17,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.568333
,2022-01-18,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.8961
,2022-01-19,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,20.928424
,2022-01-20,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,23.26011
,2022-01-21,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,23.251186
,2022-01-22,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.458719
,2022-01-23,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,19.601523
,2022-01-24,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.069697
,2022-01-25,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.949881
,2022-01-26,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.906695
,2022-01-27,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.822057
,2022-01-28,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,21.946063
,2022-01-29,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,22.789591
,2022-01-30,18975.0,UTE ANGELICA CL,Consumidor Livre,SUDESTE,120.0,19.751214
