MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-09-01,51811.0,VERONESE,Consumidor Especial,SUL,12.0,3.46594
,2023-09-02,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.431806
,2023-09-03,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.442766
,2023-09-04,51811.0,VERONESE,Consumidor Especial,SUL,12.0,1.628889
,2023-09-05,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.243006
,2023-09-06,51811.0,VERONESE,Consumidor Especial,SUL,12.0,1.26401
,2023-09-07,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.363712
,2023-09-08,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.366888
,2023-09-09,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.386536
,2023-09-10,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.361425
,2023-09-11,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.0817
,2023-09-12,51811.0,VERONESE,Consumidor Especial,SUL,12.0,3.43647
,2023-09-13,51811.0,VERONESE,Consumidor Especial,SUL,12.0,3.459166
,2023-09-14,51811.0,VERONESE,Consumidor Especial,SUL,12.0,3.589895
,2023-09-15,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.858578
,2023-09-16,51811.0,VERONESE,Consumidor Especial,SUL,12.0,1.148128
,2023-09-17,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.390691
,2023-09-18,51811.0,VERONESE,Consumidor Especial,SUL,12.0,3.066804
,2023-09-19,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.600027
,2023-09-20,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.572219
,2023-09-21,51811.0,VERONESE,Consumidor Especial,SUL,12.0,2.455277
,2023-09-22,51811.0,VERONESE,Consumidor Especial,SUL,12.0,1.955504
,2023-09-23,51811.0,VERONESE,Consumidor Especial,SUL,12.0,0.42767
