MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2024-02-01,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.879031
,2024-02-02,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.52537
,2024-02-03,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.234338
,2024-02-04,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,56.030791
,2024-02-05,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,61.9594
,2024-02-06,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.95338
,2024-02-07,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,65.681814
,2024-02-08,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,66.83279
,2024-02-09,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,66.660052
,2024-02-10,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,64.304053
,2024-02-11,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,62.187558
,2024-02-12,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.431911
,2024-02-13,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,64.156927
,2024-02-14,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,62.304993
,2024-02-15,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,60.054311
,2024-02-16,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.11416
,2024-02-17,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,61.614714
,2024-02-18,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,32.835781
,2024-02-19,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,52.309281
,2024-02-20,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,63.664914
,2024-02-21,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,64.33894599999999
,2024-02-22,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,67.020662
,2024-02-23,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,67.215095
,2024-02-24,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,57.474519
,2024-02-25,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,25.555039
,2024-02-26,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,61.017197
,2024-02-27,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,64.967288
,2024-02-28,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,65.562658
,2024-02-29,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,65.60331
202403.0,2024-03-01,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,65.713967
202403.0,2024-03-01,99581.0,ZILIA MODULAR CL 514,Consumidor Livre,SUDESTE,46.368,65.713967
