MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,14.847793
,2022-01-02,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,11.04251
,2022-01-03,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,25.342082
,2022-01-04,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.811077
,2022-01-05,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.460119
,2022-01-06,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.117357
,2022-01-07,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,26.533126
,2022-01-08,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,14.748724
,2022-01-09,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,8.920425999999999
,2022-01-10,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,24.83933
,2022-01-11,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,30.836931
,2022-01-12,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.202947
,2022-01-13,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.275795
,2022-01-14,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.277636
,2022-01-15,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,13.82805
,2022-01-16,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,10.402331
,2022-01-17,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,26.311897
,2022-01-18,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,29.719815
,2022-01-19,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,30.068141
,2022-01-20,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.382111
,2022-01-21,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.688223
,2022-01-22,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,14.959395
,2022-01-23,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,9.688403
,2022-01-24,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,26.16595
,2022-01-25,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.969087
,2022-01-26,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.597529
,2022-01-27,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,27.419976
,2022-01-28,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.168437
,2022-01-29,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,11.198838
,2022-01-30,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,8.590145
,2022-01-31,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,26.238502
,2022-02-01,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,30.286895
,2022-02-02,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,29.990497
,2022-02-03,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.863154
,2022-02-04,60606.0,ABAV,Consumidor Especial,SUDESTE,21.72,28.593567
