MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,631.567552
,2022-01-02,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,655.037286
,2022-01-03,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,669.087496
,2022-01-04,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,670.093802
,2022-01-05,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,668.865133
,2022-01-06,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,665.998366
,2022-01-07,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,664.295644
,2022-01-08,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,646.843323
,2022-01-09,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,655.596269
,2022-01-10,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,663.854429
,2022-01-11,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,661.530624
,2022-01-12,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,658.375031
,2022-01-13,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,649.326178
,2022-01-14,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,648.076385
,2022-01-15,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,657.597041
,2022-01-16,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,649.447469
,2022-01-17,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,653.286694
,2022-01-18,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,651.235458
,2022-01-19,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.475664
,2022-01-20,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,643.895959
,2022-01-21,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.72453
,2022-01-22,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,653.221582
,2022-01-23,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,649.893139
,2022-01-24,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,649.174485
,2022-01-25,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,650.644854
,2022-01-26,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,653.62823
,2022-01-27,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.220515
,2022-01-28,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.734767
,2022-01-29,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,655.421724
,2022-01-30,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,636.92449
,2022-01-31,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.93336
,2022-02-01,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,652.430606
,2022-02-02,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,657.951412
,2022-02-03,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,663.059804
,2022-02-04,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,651.984458
,2022-02-05,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,659.024998
,2022-02-06,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,655.362889
,2022-02-07,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,660.397327
,2022-02-08,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,660.981674
,2022-02-09,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,663.472504
,2022-02-10,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,662.02491
,2022-02-11,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,660.486575
,2022-02-12,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,654.39549
,2022-02-13,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,655.295892
,2022-02-14,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,650.775661
,2022-02-15,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,656.794829
,2022-02-16,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,660.998605
,2022-02-17,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,658.716854
,2022-02-18,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,666.70539
,2022-02-19,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,669.187585
,2022-02-20,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,665.438919
,2022-02-21,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,663.881258
,2022-02-22,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,652.877257
,2022-02-23,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,662.148064
,2022-02-24,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,646.509108
,2022-02-25,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,280.448729
,2022-02-26,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,657.719712
,2022-02-27,29798.0,ALCOA POCOS DE CALDAS,Autoprodutor,SUDESTE,336.0,660.504516
