MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.22589
,2023-01-02,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.272286
,2023-01-03,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.603672
,2023-01-04,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.645205
,2023-01-05,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.749102000000001
,2023-01-06,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.483009
,2023-01-07,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.462097
,2023-01-08,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.227934
,2023-01-09,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.479645
,2023-01-10,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.778419
,2023-01-11,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.686743
,2023-01-12,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.512059
,2023-01-13,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.132245
,2023-01-14,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.148362
,2023-01-15,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.470533
,2023-01-16,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.414702
,2023-01-17,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.982934
,2023-01-18,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.400658
,2023-01-19,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.392979
,2023-01-20,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.933267
,2023-01-21,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.67825
,2023-01-22,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.235919
,2023-01-23,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.3575
,2023-01-24,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.609903
,2023-01-25,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.672314
,2023-01-26,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.281338
,2023-01-27,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.975944999999999
,2023-01-28,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,2.844779
,2023-01-29,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.434364
,2023-01-30,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.358641
,2023-01-31,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.356356
,2023-02-01,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.92443
,2023-02-02,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.425209
,2023-02-03,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.426358
,2023-02-04,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.242752
,2023-02-05,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.262619
,2023-02-06,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.450364
,2023-02-07,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.747887
,2023-02-08,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.339073
,2023-02-09,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.465492
,2023-02-10,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.567604
,2023-02-11,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.703538
,2023-02-12,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.112234
,2023-02-13,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.450725
,2023-02-14,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,6.074234
,2023-02-15,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.724132
,2023-02-16,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.7780000000000005
,2023-02-17,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.775123
,2023-02-18,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.181082
,2023-02-19,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.271613
,2023-02-20,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.725463
,2023-02-21,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.067868
,2023-02-22,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.3412
,2023-02-23,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.782015
,2023-02-24,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.677906
,2023-02-25,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.65533
,2023-02-26,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.225099
,2023-02-27,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.709579
,2023-02-28,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.381707
,2023-03-01,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.780807
,2023-03-02,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.497709
,2023-03-03,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.891117
,2023-03-04,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.489231
,2023-03-05,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.400622
,2023-03-06,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.042608
,2023-03-07,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.261935
,2023-03-08,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.665383
,2023-03-09,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.193945
,2023-03-10,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.0844890000000005
,2023-03-11,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.61214
,2023-03-12,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.251772
,2023-03-13,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.001264
,2023-03-14,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.079361
,2023-03-15,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.228059
,2023-03-16,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.328682
,2023-03-17,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.187501
,2023-03-18,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,2.285878
,2023-03-19,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.274833
,2023-03-20,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.86217
,2023-03-21,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.620204
,2023-03-22,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.758118
,2023-03-23,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.155764
,2023-03-24,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,5.127334
,2023-03-25,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,1.287112
,2023-03-26,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,0.251075
,2023-03-27,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.378166
,2023-03-28,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.312368
,2023-03-29,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.386149
,2023-03-30,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,4.353828
,2023-03-31,49157.0,ALLTAPE CL 514,Consumidor Livre,SUDESTE,12.0,3.34419
