MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-08-01,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.766429
,2022-08-02,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.691928
,2022-08-03,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.210931
,2022-08-04,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.197219
,2022-08-05,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.747924
,2022-08-06,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.325389
,2022-08-07,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.373738
,2022-08-08,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.717342
,2022-08-09,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.28166
,2022-08-10,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.136587
,2022-08-11,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.743212
,2022-08-12,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.027532
,2022-08-13,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.178847
,2022-08-14,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.354053
,2022-08-15,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.44457
,2022-08-16,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.880476
,2022-08-17,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.152131
,2022-08-18,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.865629
,2022-08-19,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.473302
,2022-08-20,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.462552
,2022-08-21,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.331971
,2022-08-22,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.175063
,2022-08-23,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.420664
,2022-08-24,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.089214
,2022-08-25,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.914699
,2022-08-26,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.0400850000000004
,2022-08-27,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.600914
,2022-08-28,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.388402
,2022-08-29,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.315336
,2022-08-30,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,1.865633
,2022-08-31,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,1.893054
,2022-09-01,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.913743
,2022-09-02,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.536094
,2022-09-03,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.486214
,2022-09-04,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.448908
,2022-09-05,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.030904
,2022-09-06,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.763088
,2022-09-07,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.831998
,2022-09-08,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,1.866296
,2022-09-09,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.297225
,2022-09-10,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.173127
,2022-09-11,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,2.325788
,2022-09-12,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.157712
,2022-09-13,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.537171
,2022-09-14,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.668161
,2022-09-15,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.00156
,2022-09-16,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.58353
,2022-09-17,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.990409
,2022-09-18,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.749063
,2022-09-19,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.799037
,2022-09-20,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.315576
,2022-09-21,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.217219
,2022-09-22,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.5990590000000005
,2022-09-23,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.110421
,2022-09-24,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.224873
,2022-09-25,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.469131
,2022-09-26,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.013646
,2022-09-27,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.933438
,2022-09-28,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.252644
,2022-09-29,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.888641
,2022-09-30,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.775655
,2022-10-01,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.688065
,2022-10-02,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.379717
,2022-10-03,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.293921
,2022-10-04,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.236271
,2022-10-05,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.176099
,2022-10-06,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.176439
,2022-10-07,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.796013
,2022-10-08,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.823279
,2022-10-09,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.358178
,2022-10-10,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.532051
,2022-10-11,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.582448
,2022-10-12,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.023166
,2022-10-13,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.652038
,2022-10-14,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.786157
,2022-10-15,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.701709
,2022-10-16,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.535886
,2022-10-17,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.118277
,2022-10-18,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.566414
,2022-10-19,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.813675
,2022-10-20,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.608642
,2022-10-21,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.163418
,2022-10-22,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.249422
,2022-10-23,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.455886
,2022-10-24,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.913028
,2022-10-25,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.934194
,2022-10-26,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.880724
,2022-10-27,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.972526
,2022-10-28,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.133527
,2022-10-29,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.266895
,2022-10-30,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.124726
,2022-10-31,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,4.226437
,2022-11-01,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,3.945778
,2022-11-02,37532.0,ALPES GO,Consumidor Especial,SUDESTE,6.720000000000001,5.049353
