MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202503.0,2025-03-01,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.889964
202503.0,2025-03-02,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.551878
202503.0,2025-03-03,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,5.974527
202503.0,2025-03-04,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.559248
202503.0,2025-03-05,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.058564
202503.0,2025-03-06,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.987157
202503.0,2025-03-07,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.972593
202503.0,2025-03-08,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.220481
202503.0,2025-03-09,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.691943
202503.0,2025-03-10,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.801611
202503.0,2025-03-11,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.611252
202503.0,2025-03-12,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,1.601104
202503.0,2025-03-13,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.739544
202503.0,2025-03-14,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.991245
202503.0,2025-03-15,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.232923
202503.0,2025-03-16,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,5.956993
202503.0,2025-03-17,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.946633
202503.0,2025-03-18,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.289578
202503.0,2025-03-19,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.205706
202503.0,2025-03-20,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.795146
202503.0,2025-03-21,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.021163
202503.0,2025-03-22,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.1812000000000005
202503.0,2025-03-23,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,5.22284
202503.0,2025-03-24,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.582773
202503.0,2025-03-25,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.943148
202503.0,2025-03-26,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.453187
202503.0,2025-03-27,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.49013
202503.0,2025-03-28,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.179503
202503.0,2025-03-29,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.921684
202503.0,2025-03-30,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,5.905519
202503.0,2025-03-31,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.484562
202504.0,2025-04-01,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.391163
202504.0,2025-04-02,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.688414
202504.0,2025-04-03,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.448078
202504.0,2025-04-04,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.965478
202504.0,2025-04-05,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.805925
202504.0,2025-04-06,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.075286
202504.0,2025-04-07,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.842548
202504.0,2025-04-08,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.802765
202504.0,2025-04-09,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.946061
202504.0,2025-04-10,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.036523
202504.0,2025-04-11,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.98972
202504.0,2025-04-12,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.313874
202504.0,2025-04-13,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.632841
202504.0,2025-04-14,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.900584
202504.0,2025-04-15,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.052755
202504.0,2025-04-16,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.584888
202504.0,2025-04-17,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.648536
202504.0,2025-04-18,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.848904
202504.0,2025-04-19,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.57231
202504.0,2025-04-20,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,6.272719
202504.0,2025-04-21,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.808371
202504.0,2025-04-22,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,9.454324
202504.0,2025-04-23,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.091764
202504.0,2025-04-24,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.653931
202504.0,2025-04-25,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.615221
202504.0,2025-04-26,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.942862
202504.0,2025-04-27,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.238616
202504.0,2025-04-28,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.073508
202504.0,2025-04-29,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.3111
202504.0,2025-04-30,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.632752
202505.0,2025-05-01,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.117006
202505.0,2025-05-02,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.202715
202505.0,2025-05-03,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.414108
202505.0,2025-05-04,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,7.277065
202505.0,2025-05-05,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.099664
202505.0,2025-05-06,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.404381
202505.0,2025-05-07,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,10.778753
202505.0,2025-05-08,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.17262
202505.0,2025-05-09,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,11.755304
202505.0,2025-05-10,153245.0,BARBOSA E CIA BARBACENA,Consumidor Livre,SUDESTE,18.0,8.056342
