MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202411.0,2024-11-01,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.417886
202411.0,2024-11-02,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,7.644237
202411.0,2024-11-03,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,4.136457
202411.0,2024-11-04,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,6.922976
202411.0,2024-11-05,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,7.730141
202411.0,2024-11-06,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.992378
202411.0,2024-11-07,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.705394
202411.0,2024-11-08,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.744005
202411.0,2024-11-09,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.436684
202411.0,2024-11-10,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,4.697438
202411.0,2024-11-11,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.253695
202411.0,2024-11-12,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,10.016182
202411.0,2024-11-13,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.868724
202411.0,2024-11-14,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.566097
202411.0,2024-11-15,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.209369
202411.0,2024-11-16,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,3.983053
202411.0,2024-11-17,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,3.11711
202411.0,2024-11-18,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,6.318091
202411.0,2024-11-19,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.047662
202411.0,2024-11-20,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.762019
202411.0,2024-11-21,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,10.160625
202411.0,2024-11-22,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.496237
202411.0,2024-11-23,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.658976
202411.0,2024-11-24,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,4.136153
202411.0,2024-11-25,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.718933
202411.0,2024-11-26,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,10.544921
202411.0,2024-11-27,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.216811
202411.0,2024-11-28,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,10.896289
202411.0,2024-11-29,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,9.028241
202411.0,2024-11-30,150055.0,BIO CITRUS SP,Consumidor Especial,SUDESTE,12.0,8.571872
