MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-04-01,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.298811
,2023-04-02,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.951137
,2023-04-03,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.182634
,2023-04-04,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.985953
,2023-04-05,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.148233
,2023-04-06,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.19612
,2023-04-07,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.65984
,2023-04-08,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.498391
,2023-04-09,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.469481
,2023-04-10,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.585245
,2023-04-11,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.562357
,2023-04-12,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.78917
,2023-04-13,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.83673
,2023-04-14,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.401227
,2023-04-15,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.00232
,2023-04-16,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.810026
,2023-04-17,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.079612
,2023-04-18,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.102084
,2023-04-19,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,2.927662
,2023-04-20,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.044749
,2023-04-21,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.060924
,2023-04-22,44261.0,BIOPARQUE,Consumidor Especial,SUDESTE,12.0,3.044507
