MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-03-01,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.382307
,2023-03-02,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.556412
,2023-03-03,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.511722
,2023-03-04,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.374411
,2023-03-05,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.693751
,2023-03-06,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.736031
,2023-03-07,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.163675
,2023-03-08,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.664241
,2023-03-09,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.742965
,2023-03-10,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.058009
,2023-03-11,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.94631
,2023-03-12,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.865024
,2023-03-13,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.502255
,2023-03-14,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.549036
,2023-03-15,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.670904
,2023-03-16,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.614384
,2023-03-17,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.434844
,2023-03-18,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.930943
,2023-03-19,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.879666
,2023-03-20,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.568731
,2023-03-21,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.533898
,2023-03-22,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.584851
,2023-03-23,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.607535
,2023-03-24,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,2.623943
,2023-03-25,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.88898
,2023-03-26,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.327237
,2023-03-27,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.4156770000000005
,2023-03-28,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.139697
,2023-03-29,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.98112
,2023-03-30,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.304358
,2023-03-31,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.260824
,2023-04-01,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.606112
,2023-04-02,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.252976
,2023-04-03,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.683178
,2023-04-04,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.83553
,2023-04-05,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.843306
,2023-04-06,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.837158
,2023-04-07,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.568885
,2023-04-08,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.369727
,2023-04-09,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.273305000000001
,2023-04-10,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.733518
,2023-04-11,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.804255
,2023-04-12,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,3.905665
,2023-04-13,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.34835
,2023-04-14,102963.0,BONO PA VAREJISTA,Comercializador,NORTE,6.48,4.503775
