MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-02-01,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.765762
,2022-02-02,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.674721
,2022-02-03,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.630946
,2022-02-04,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.618734
,2022-02-05,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.493327
,2022-02-06,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.224868
,2022-02-07,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.391847
,2022-02-08,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.5777
,2022-02-09,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.4524
,2022-02-10,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.404595
,2022-02-11,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.366307
,2022-02-12,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.4161019999999999
,2022-02-13,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.220892
,2022-02-14,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.336292
,2022-02-15,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.6018519999999998
,2022-02-16,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.6805439999999998
,2022-02-17,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.73273
,2022-02-18,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.417569
,2022-02-19,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.453232
,2022-02-20,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.212714
,2022-02-21,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.289204
,2022-02-22,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.3146179999999998
,2022-02-23,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.377726
,2022-02-24,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.431416
,2022-02-25,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.305335
,2022-02-26,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.237756
,2022-02-27,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.197349
,2022-02-28,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.30931
,2022-03-01,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.30627
,2022-03-02,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.330949
,2022-03-03,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.32291
,2022-03-04,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.394766
,2022-03-05,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.205091
,2022-03-06,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,0.203156
,2022-03-07,29252.0,C CE PLURINOX,Consumidor Especial,SUDESTE,12.0,1.375802
