MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202404.0,2024-04-01,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.078552
202404.0,2024-04-02,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.081076
202404.0,2024-04-03,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.099051
202404.0,2024-04-04,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.295414
202404.0,2024-04-05,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.172898
202404.0,2024-04-06,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.213948
202404.0,2024-04-07,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.133085
202404.0,2024-04-08,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.073595
202404.0,2024-04-09,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.078739
202404.0,2024-04-10,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.082084
202404.0,2024-04-11,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.112679
202404.0,2024-04-12,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.092665
202404.0,2024-04-13,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.031646
202404.0,2024-04-14,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.020353
202404.0,2024-04-15,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.08335
202404.0,2024-04-16,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.119479
202404.0,2024-04-17,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.1096
202404.0,2024-04-18,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.104854
202404.0,2024-04-19,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.104441
202404.0,2024-04-20,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.069488
202404.0,2024-04-21,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.020926
202404.0,2024-04-22,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.133199
202404.0,2024-04-23,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.14701
202404.0,2024-04-24,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.093425
202404.0,2024-04-25,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.500374
202404.0,2024-04-26,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.769773
202404.0,2024-04-27,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.094773
202404.0,2024-04-28,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,0.057824
202404.0,2024-04-29,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,1.996957
202404.0,2024-04-30,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.02379
202405.0,2024-05-01,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,2.871162
202405.0,2024-05-02,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.33468
202405.0,2024-05-03,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.498351
202405.0,2024-05-04,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.480902
202405.0,2024-05-05,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.264636
202405.0,2024-05-06,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.415062
202405.0,2024-05-07,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.529887
202405.0,2024-05-08,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.458141
202405.0,2024-05-09,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.344988
202405.0,2024-05-10,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.426393
202405.0,2024-05-11,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.472497
202405.0,2024-05-12,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.261626
202405.0,2024-05-13,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.330332
202405.0,2024-05-14,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.34248
202405.0,2024-05-15,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.453402
202405.0,2024-05-16,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.404071
202405.0,2024-05-17,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.411296
202405.0,2024-05-18,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.021956
202405.0,2024-05-19,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,2.680401
202405.0,2024-05-20,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.17644
202405.0,2024-05-21,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.659075
202405.0,2024-05-22,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.652306
202405.0,2024-05-23,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.549611
202405.0,2024-05-24,132161.0,C CE VPJ ALIMENTOS I1,Consumidor Especial,SUDESTE,4.800000000000001,3.543066
