MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,5.469098
,2022-01-02,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.244571
,2022-01-03,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,7.872123
,2022-01-04,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.488067
,2022-01-05,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.896888
,2022-01-06,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.55175
,2022-01-07,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,6.9379610000000005
,2022-01-08,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,6.921685
,2022-01-09,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,6.440793
,2022-01-10,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,6.8606
,2022-01-11,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,7.322807
,2022-01-12,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.128917
,2022-01-13,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,10.017985
,2022-01-14,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.188104
,2022-01-15,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.866474
,2022-01-16,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.215788
,2022-01-17,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.476514
,2022-01-18,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,10.467216
,2022-01-19,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.993374
,2022-01-20,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,11.348223
,2022-01-21,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,10.322657
,2022-01-22,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.9838
,2022-01-23,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.814941
,2022-01-24,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.45066
,2022-01-25,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,10.252529
,2022-01-26,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,12.611294
,2022-01-27,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,13.108733
,2022-01-28,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.640233
,2022-01-29,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.300337
,2022-01-30,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,7.578436
,2022-01-31,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,7.816775
,2022-02-01,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.986338
,2022-02-02,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,8.119376
,2022-02-03,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,10.852475
,2022-02-04,60707.0,CAML,Consumidor Especial,SUDESTE,19.200000000000003,9.649911
