MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,1.781173
,2022-01-02,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,3.955436
,2022-01-03,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.888544
,2022-01-04,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.584739
,2022-01-05,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.919768
,2022-01-06,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.653425
,2022-01-07,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.358934
,2022-01-08,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.356205
,2022-01-09,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,3.67558
,2022-01-10,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.144266
,2022-01-11,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.1789950000000005
,2022-01-12,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.270638
,2022-01-13,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.635299
,2022-01-14,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.954284
,2022-01-15,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.023332
,2022-01-16,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.178754
,2022-01-17,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.411745
,2022-01-18,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.34081
,2022-01-19,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.5613150000000005
,2022-01-20,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.17314
,2022-01-21,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.234096
,2022-01-22,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.425984
,2022-01-23,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.531027
,2022-01-24,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.48959
,2022-01-25,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.345271
,2022-01-26,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.02355
,2022-01-27,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.957518
,2022-01-28,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.485293
,2022-01-29,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.588248
,2022-01-30,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.333712
,2022-01-31,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.838256
,2022-02-01,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.033547
,2022-02-02,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.906047
,2022-02-03,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.6280790000000005
,2022-02-04,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.823193
,2022-02-05,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.338707
,2022-02-06,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.387828
,2022-02-07,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.793152
,2022-02-08,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.310226
,2022-02-09,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.399242
,2022-02-10,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.32197
,2022-02-11,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.570595
,2022-02-12,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.650452
,2022-02-13,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.033247
,2022-02-14,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.327246
,2022-02-15,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.546585
,2022-02-16,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.463663
,2022-02-17,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.535289
,2022-02-18,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.577133
,2022-02-19,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.730688
,2022-02-20,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,3.930219
,2022-02-21,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.410663
,2022-02-22,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.49956
,2022-02-23,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.868179
,2022-02-24,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.742235
,2022-02-25,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.691842
,2022-02-26,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.976715
,2022-02-27,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.108054
,2022-02-28,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,3.972278
,2022-03-01,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,3.935631
,2022-03-02,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.030366
,2022-03-03,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.878781
,2022-03-04,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.938268
,2022-03-05,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.393264
,2022-03-06,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.288685
,2022-03-07,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.037227
,2022-03-08,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.846472
,2022-03-09,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.230786
,2022-03-10,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.881804
,2022-03-11,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.10408
,2022-03-12,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.136717
,2022-03-13,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.2315700000000005
,2022-03-14,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.701316
,2022-03-15,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.801779
,2022-03-16,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.975655
,2022-03-17,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.866632
,2022-03-18,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.992488
,2022-03-19,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.323408
,2022-03-20,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.392939999999999
,2022-03-21,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.797987
,2022-03-22,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.515489
,2022-03-23,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.65018
,2022-03-24,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.942066
,2022-03-25,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.9066220000000005
,2022-03-26,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.379756
,2022-03-27,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.443693
,2022-03-28,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.070268
,2022-03-29,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.801278
,2022-03-30,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.995799
,2022-03-31,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.830195
,2022-04-01,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.773285
,2022-04-02,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.15496
,2022-04-03,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.492753
,2022-04-04,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.585291
,2022-04-05,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.979945
,2022-04-06,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.06864
,2022-04-07,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.241714
,2022-04-08,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.200593
,2022-04-09,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,5.375103
,2022-04-10,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.474837
,2022-04-11,3067.0,CEPCS,Consumidor Especial,SUDESTE,12.6,4.370035
