MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.305954
,2023-01-02,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,3.014391
,2023-01-03,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.627169
,2023-01-04,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.335829
,2023-01-05,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.279499
,2023-01-06,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.102852
,2023-01-07,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,0.47663
,2023-01-08,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,0.514771
,2023-01-09,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.849877
,2023-01-10,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.183575
,2023-01-11,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.951375
,2023-01-12,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.204662
,2023-01-13,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,3.031512
,2023-01-14,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.581153
,2023-01-15,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,0.951435
,2023-01-16,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.893631
,2023-01-17,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.277582
,2023-01-18,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.794643
,2023-01-19,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.767363
,2023-01-20,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,3.001545
,2023-01-21,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.913841
,2023-01-22,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.170392
,2023-01-23,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.990455
,2023-01-24,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,1.899713
,2023-01-25,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.861089
,2023-01-26,56346.0,CERMAR CL,Consumidor Livre,NORDESTE,12.0,2.393662
