MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,0.973684
,2023-01-02,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.033424
,2023-01-03,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.29127
,2023-01-04,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.534683
,2023-01-05,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.229821
,2023-01-06,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.211557
,2023-01-07,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.287797
,2023-01-08,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.962592
,2023-01-09,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.417322
,2023-01-10,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.450549
,2023-01-11,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.358773
,2023-01-12,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.756247
,2023-01-13,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.303609
,2023-01-14,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.667024
,2023-01-15,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.590563
,2023-01-16,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.455463
,2023-01-17,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.733548
,2023-01-18,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.903476
,2023-01-19,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.925994
,2023-01-20,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.569656
,2023-01-21,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.331081
,2023-01-22,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.085323
,2023-01-23,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.652881
,2023-01-24,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.65287
,2023-01-25,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.557134
,2023-01-26,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.668121
,2023-01-27,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.820578
,2023-01-28,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.631344
,2023-01-29,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.458553
,2023-01-30,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.648758
,2023-01-31,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.74596
,2023-02-01,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.7744
,2023-02-02,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.781627
,2023-02-03,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.833087
,2023-02-04,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.75523
,2023-02-05,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.550624
,2023-02-06,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.592856
,2023-02-07,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.542221
,2023-02-08,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.336001
,2023-02-09,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.576197
,2023-02-10,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.632791
,2023-02-11,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.658258
,2023-02-12,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.493538
,2023-02-13,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.60506
,2023-02-14,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.511626
,2023-02-15,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.633485
,2023-02-16,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.769313
,2023-02-17,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.530395
,2023-02-18,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.713445
,2023-02-19,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.774121
,2023-02-20,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.823705
,2023-02-21,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.981677
,2023-02-22,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.768087
,2023-02-23,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.642451
,2023-02-24,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.769603
,2023-02-25,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.743934
,2023-02-26,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.565099
,2023-02-27,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.693862
,2023-02-28,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.638509
,2023-03-01,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.647181
,2023-03-02,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.751881
,2023-03-03,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.831021
,2023-03-04,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.754146
,2023-03-05,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.529478
,2023-03-06,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,1.6603409999999998
,2023-03-07,45282.0,CLUBENAUTICOSL CL 514,Consumidor Livre,SUDESTE,12.0,2.464054
