MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-07-01,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.974011
,2023-07-02,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.758263
,2023-07-03,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.035583
,2023-07-04,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.011539
,2023-07-05,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.015662
,2023-07-06,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.015477
,2023-07-07,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.092099
,2023-07-08,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.879289
,2023-07-09,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.744587
,2023-07-10,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.027068
,2023-07-11,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.714662
,2023-07-12,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.9687
,2023-07-13,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.024644
,2023-07-14,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.178932
,2023-07-15,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.045725
,2023-07-16,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.774382
,2023-07-17,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.118141
,2023-07-18,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.032787
,2023-07-19,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.170872
,2023-07-20,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.048349
,2023-07-21,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.155189
,2023-07-22,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.956267
,2023-07-23,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.752048
,2023-07-24,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.053704
,2023-07-25,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.056596
,2023-07-26,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.0602
,2023-07-27,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.028535
,2023-07-28,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.072628
,2023-07-29,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.012379
,2023-07-30,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.665371
,2023-07-31,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.052434
,2023-08-01,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.926326
,2023-08-02,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.075834
,2023-08-03,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.978476
,2023-08-04,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.159351
,2023-08-05,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.022975
,2023-08-06,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.744441
,2023-08-07,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.042663
,2023-08-08,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.044337
,2023-08-09,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.083966
,2023-08-10,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.055223
,2023-08-11,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.066187
,2023-08-12,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.959088
,2023-08-13,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.750803
,2023-08-14,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.059401
,2023-08-15,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.79313
,2023-08-16,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.095303
,2023-08-17,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.027647
,2023-08-18,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.127765
,2023-08-19,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.991989
,2023-08-20,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.769486
,2023-08-21,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.056656
,2023-08-22,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.981823
,2023-08-23,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.075545
,2023-08-24,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.039823
,2023-08-25,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.133417
,2023-08-26,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.982354
,2023-08-27,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.748479
,2023-08-28,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.038458
,2023-08-29,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.937251
,2023-08-30,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.082955
,2023-08-31,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.038667
,2023-09-01,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.005092
,2023-09-02,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.868861
,2023-09-03,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.525084
,2023-09-04,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.102046
,2023-09-05,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.943297
,2023-09-06,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.993493
,2023-09-07,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.764721
,2023-09-08,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.994928
,2023-09-09,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.98516
,2023-09-10,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,2.757511
,2023-09-11,54733.0,CONDOMINIO SALVADOR PRIME,Consumidor Especial,NORDESTE,12.0,3.149915
