MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,6.193019
,2022-01-02,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.106929
,2022-01-03,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.519946000000001
,2022-01-04,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.289719999999999
,2022-01-05,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.350388
,2022-01-06,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.840922
,2022-01-07,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.047684
,2022-01-08,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.090922
,2022-01-09,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.157805
,2022-01-10,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.053441
,2022-01-11,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.514516
,2022-01-12,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.478425
,2022-01-13,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.68009
,2022-01-14,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.819478
,2022-01-15,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.782846
,2022-01-16,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.08965
,2022-01-17,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.652884
,2022-01-18,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.84013
,2022-01-19,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.845261
,2022-01-20,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,9.053265
,2022-01-21,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,9.188819
,2022-01-22,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,9.169311
,2022-01-23,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.463246
,2022-01-24,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.257647
,2022-01-25,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,9.134399
,2022-01-26,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,9.152518
,2022-01-27,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.634997
,2022-01-28,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.853762
,2022-01-29,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.76137
,2022-01-30,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.396581999999999
,2022-01-31,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.926447
,2022-02-01,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.376548
,2022-02-02,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.745147
,2022-02-03,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.998886
,2022-02-04,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.66455
,2022-02-05,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.516372
,2022-02-06,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.410321
,2022-02-07,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.675821
,2022-02-08,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.771485
,2022-02-09,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.953116
,2022-02-10,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.262987
,2022-02-11,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.391283
,2022-02-12,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.48544
,2022-02-13,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.58004
,2022-02-14,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.774822
,2022-02-15,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.028153
,2022-02-16,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.319671
,2022-02-17,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.476758
,2022-02-18,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.201948
,2022-02-19,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.200969
,2022-02-20,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,7.684423
,2022-02-21,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.281711
,2022-02-22,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.566859
,2022-02-23,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.478702
,2022-02-24,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.753212
,2022-02-25,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.523156
,2022-02-26,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.734125
,2022-02-27,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.128164
,2022-02-28,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,14.808,8.90015
,2022-03-01,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.210316
,2022-03-02,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.578944
,2022-03-03,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.814006
,2022-03-04,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.739495
,2022-03-05,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.861586
,2022-03-06,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.127540999999999
,2022-03-07,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.726013
,2022-03-08,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.764942
,2022-03-09,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.652399
,2022-03-10,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.604478
,2022-03-11,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.063083
,2022-03-12,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.640687
,2022-03-13,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,6.933493
,2022-03-14,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.624087
,2022-03-15,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.72077
,2022-03-16,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.752578
,2022-03-17,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.093756
,2022-03-18,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,8.099068
,2022-03-19,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.625217
,2022-03-20,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,6.759054
,2022-03-21,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.426406
,2022-03-22,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.638384
,2022-03-23,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.554122
,2022-03-24,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.574528
,2022-03-25,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.346063
,2022-03-26,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.300031
,2022-03-27,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,6.435573
,2022-03-28,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.51431
,2022-03-29,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.865154
,2022-03-30,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,7.378295
,2022-03-31,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,6.978351
,2022-04-01,23256.0,COQUEIROS SUPERMERCADOS,Consumidor Especial,SUL,15.312,6.892097
