MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,524.9031620000001
,2022-01-02,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,550.071283
,2022-01-03,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,744.971964
,2022-01-04,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,780.648046
,2022-01-05,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,809.6054340000001
,2022-01-06,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,822.475565
,2022-01-07,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,785.000986
,2022-01-08,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,653.731032
,2022-01-09,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,567.408112
,2022-01-10,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,749.606022
,2022-01-11,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,802.60457
,2022-01-12,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,808.541952
,2022-01-13,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,841.489962
,2022-01-14,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,847.537026
,2022-01-15,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,713.956911
,2022-01-16,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,595.388338
,2022-01-17,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,804.96626
,2022-01-18,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,859.492074
,2022-01-19,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,872.838564
,2022-01-20,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,900.450542
,2022-01-21,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,904.554294
,2022-01-22,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,783.7506940000001
,2022-01-23,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,696.6804099999999
,2022-01-24,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,924.101947
,2022-01-25,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,957.61646
,2022-01-26,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,936.442579
,2022-01-27,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,922.028464
,2022-01-28,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,895.827077
,2022-01-29,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,708.8059949999999
,2022-01-30,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,604.74389
,2022-01-31,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,794.607719
,2022-02-01,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,831.804152
,2022-02-02,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,844.220569
,2022-02-03,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,844.465345
,2022-02-04,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,869.641357
,2022-02-05,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,726.280855
,2022-02-06,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,617.103625
,2022-02-07,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,833.40677
,2022-02-08,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,857.19666
,2022-02-09,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,843.693834
,2022-02-10,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,853.81127
,2022-02-11,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,847.249802
,2022-02-12,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,723.998813
,2022-02-13,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,642.90056
,2022-02-14,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,890.825255
,2022-02-15,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,931.875003
,2022-02-16,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,921.805658
,2022-02-17,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,860.223478
,2022-02-18,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,826.551709
,2022-02-19,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,719.984739
,2022-02-20,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,648.123527
,2022-02-21,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,880.195846
,2022-02-22,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,934.412614
,2022-02-23,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,955.507297
,2022-02-24,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,942.275438
,2022-02-25,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,918.777972
,2022-02-26,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,778.625962
,2022-02-27,63.0,CPFL JAGUARI,Distribuidor,SUDESTE,2082.6000000000004,686.768532
