MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,14.746435
,2022-01-02,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,15.525368
,2022-01-03,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.924498
,2022-01-04,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.882605
,2022-01-05,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.497086
,2022-01-06,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,16.819439
,2022-01-07,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,16.600649
,2022-01-08,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,16.4377
,2022-01-09,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,14.78542
,2022-01-10,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.048668
,2022-01-11,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,18.723512
,2022-01-12,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.506984
,2022-01-13,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.117803000000002
,2022-01-14,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.877474
,2022-01-15,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,17.94927
,2022-01-16,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,15.907626
,2022-01-17,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,12.923616
,2022-01-18,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,9.622214
,2022-01-19,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,10.759853
,2022-01-20,31506.0,DPA NE GARANHUS CL,Consumidor Livre,NORDESTE,26.4,11.038698
