MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.054439
,2023-01-02,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.054544
,2023-01-03,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.060149
,2023-01-04,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.498025
,2023-01-05,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.519596
,2023-01-06,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.908538
,2023-01-07,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.203634
,2023-01-08,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.061767
,2023-01-09,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.928251
,2023-01-10,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.126943
,2023-01-11,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.118165
,2023-01-12,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.051229
,2023-01-13,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.044003
,2023-01-14,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.653987
,2023-01-15,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.101622
,2023-01-16,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.060498
,2023-01-17,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.836206
,2023-01-18,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.232156
,2023-01-19,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.221103
,2023-01-20,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.210449
,2023-01-21,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.533301
,2023-01-22,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.069988
,2023-01-23,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.146457
,2023-01-24,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.1703360000000003
,2023-01-25,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.633691
,2023-01-26,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.920453
,2023-01-27,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.083056
,2023-01-28,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.042519
,2023-01-29,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.070216
,2023-01-30,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.429496
,2023-01-31,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.35222
,2023-02-01,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.608707
,2023-02-02,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.489676
,2023-02-03,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.907276
,2023-02-04,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.019952
,2023-02-05,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.069719
,2023-02-06,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.627909
,2023-02-07,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.662201
,2023-02-08,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.635944
,2023-02-09,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.438664
,2023-02-10,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.78782
,2023-02-11,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.17978
,2023-02-12,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.074336
,2023-02-13,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.937958
,2023-02-14,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.289362
,2023-02-15,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.824373
,2023-02-16,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.882022
,2023-02-17,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.762991
,2023-02-18,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.91567
,2023-02-19,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.067733
,2023-02-20,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.075286
,2023-02-21,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.901783
,2023-02-22,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.657533
,2023-02-23,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.20136
,2023-02-24,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.937335
,2023-02-25,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.706947
,2023-02-26,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.073797
,2023-02-27,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.865962
,2023-02-28,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.486859
,2023-03-01,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.849375
,2023-03-02,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.950184
,2023-03-03,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.191323
,2023-03-04,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.789899
,2023-03-05,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.072202
,2023-03-06,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.168546
,2023-03-07,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,1.79332
,2023-03-08,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.210947
,2023-03-09,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.51853
,2023-03-10,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.602702
,2023-03-11,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.102531
,2023-03-12,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.056393
,2023-03-13,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.503044
,2023-03-14,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.572256
,2023-03-15,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.940976
,2023-03-16,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.587988
,2023-03-17,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.205349
,2023-03-18,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.107144
,2023-03-19,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.0689029999999999
,2023-03-20,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.487248
,2023-03-21,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.104259
,2023-03-22,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.486607
,2023-03-23,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.161549
,2023-03-24,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.207229
,2023-03-25,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.522367
,2023-03-26,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.066171
,2023-03-27,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.913511
,2023-03-28,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.094296
,2023-03-29,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.247787
,2023-03-30,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.494952
,2023-03-31,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.287251
,2023-04-01,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,2.767073
,2023-04-02,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,0.102941
,2023-04-03,47557.0,EMBAPLAST NESP,Consumidor Livre,SUL,12.0,3.925681
