MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.023409
,2022-01-02,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,2.847912
,2022-01-03,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.294523
,2022-01-04,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.240671
,2022-01-05,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.9927
,2022-01-06,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.462035
,2022-01-07,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.510597
,2022-01-08,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.082547
,2022-01-09,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.519378
,2022-01-10,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.891198
,2022-01-11,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.310406
,2022-01-12,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.929329
,2022-01-13,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,4.073167
,2022-01-14,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.554456
,2022-01-15,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,1.686278
,2022-01-16,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.562879
,2022-01-17,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.703242
,2022-01-18,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.281675
,2022-01-19,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.519967
,2022-01-20,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.228664
,2022-01-21,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.114077
,2022-01-22,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.025442
,2022-01-23,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,2.384109
,2022-01-24,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,4.254216
,2022-01-25,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.638969
,2022-01-26,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.238481
,2022-01-27,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,3.371353
,2022-01-28,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,4.261101
,2022-01-29,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,5.400195
,2022-01-30,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,5.4420530000000005
,2022-01-31,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,5.507215
,2022-02-01,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,7.28297
,2022-02-02,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,9.267368
,2022-02-03,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.345674
,2022-02-04,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.973213
,2022-02-05,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.101009
,2022-02-06,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,10.234217
,2022-02-07,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.767352
,2022-02-08,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,12.136924
,2022-02-09,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.972973
,2022-02-10,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,12.114894
,2022-02-11,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,12.784622
,2022-02-12,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,13.198867
,2022-02-13,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,10.307233
,2022-02-14,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,6.783234
,2022-02-15,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,6.869745
,2022-02-16,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,8.215345000000001
,2022-02-17,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,7.548341
,2022-02-18,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,6.509494
,2022-02-19,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,5.11481
,2022-02-20,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,7.151872
,2022-02-21,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,7.726252
,2022-02-22,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.296558
,2022-02-23,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,9.536336
,2022-02-24,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,11.103689
,2022-02-25,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,12.191922
,2022-02-26,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,10.538832
,2022-02-27,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,12.148375
,2022-02-28,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,28.8,9.908923
,2023-01-01,32540.0,FCA OFICINAS CL 514 2022,Consumidor Livre,SUDESTE,32.400000000000006,5.819635
