MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,7.546646
,2022-01-02,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,5.54036
,2022-01-03,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.949858
,2022-01-04,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.401226
,2022-01-05,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.225532
,2022-01-06,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.882659
,2022-01-07,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.581858
,2022-01-08,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,7.998912
,2022-01-09,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,5.840584
,2022-01-10,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,12.304997
,2022-01-11,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.631402
,2022-01-12,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.06392
,2022-01-13,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.708411
,2022-01-14,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.037319
,2022-01-15,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,7.295922
,2022-01-16,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,5.774242
,2022-01-17,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,12.054502
,2022-01-18,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.82343
,2022-01-19,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.676481
,2022-01-20,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.227497
,2022-01-21,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.424248
,2022-01-22,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,10.384567
,2022-01-23,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.786988
,2022-01-24,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.450095
,2022-01-25,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.811158
,2022-01-26,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.184741
,2022-01-27,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.852858
,2022-01-28,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.704946
,2022-01-29,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.886696
,2022-01-30,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,9.718208
,2022-01-31,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.380208
,2022-02-01,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.992074
,2022-02-02,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,18.288393
,2022-02-03,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,18.581692
,2022-02-04,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,18.283251
,2022-02-05,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,12.606878
,2022-02-06,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,9.088808
,2022-02-07,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.585771
,2022-02-08,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.861052
,2022-02-09,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.791839
,2022-02-10,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.851798
,2022-02-11,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.892171
,2022-02-12,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.508436
,2022-02-13,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.806961
,2022-02-14,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.037444
,2022-02-15,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.731365
,2022-02-16,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.795548
,2022-02-17,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.495831
,2022-02-18,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.187086
,2022-02-19,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.686496
,2022-02-20,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.995175
,2022-02-21,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,14.609507
,2022-02-22,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.86959
,2022-02-23,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.547907
,2022-02-24,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.04024
,2022-02-25,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.639617
,2022-02-26,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,10.803735
,2022-02-27,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.606811
,2022-02-28,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.269254
,2022-03-01,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.840315
,2022-03-02,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.31561
,2022-03-03,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.317399
,2022-03-04,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.5879
,2022-03-05,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,10.664667
,2022-03-06,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,10.181527
,2022-03-07,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,7.956173
,2022-03-08,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,7.926544
,2022-03-09,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,13.439823
,2022-03-10,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.527573
,2022-03-11,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,14.967702
,2022-03-12,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,10.15962
,2022-03-13,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.100637
,2022-03-14,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,14.63122
,2022-03-15,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.724479
,2022-03-16,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.610323
,2022-03-17,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.770567
,2022-03-18,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.605603
,2022-03-19,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.909084
,2022-03-20,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.802441
,2022-03-21,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,14.996909
,2022-03-22,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.247324
,2022-03-23,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.534743
,2022-03-24,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,14.311969
,2022-03-25,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.958129
,2022-03-26,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,17.403497
,2022-03-27,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,12.591177
,2022-03-28,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,15.092475
,2022-03-29,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.419915
,2022-03-30,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.92711
,2022-03-31,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.487954
,2022-04-01,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,16.547744
,2022-04-02,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,11.543902
,2022-04-03,31653.0,FRANBOM CL 514,Consumidor Livre,SUDESTE,24.0,8.317441
