MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,0.873264
,2023-01-02,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,2.208461
,2023-01-03,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,2.407247
,2023-01-04,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,8.431568
,2023-01-05,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,10.794602
,2023-01-06,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,11.421095
,2023-01-07,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,3.22134
,2023-01-08,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,0.842687
,2023-01-09,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,10.619052
,2023-01-10,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,13.914068
,2023-01-11,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,15.024774
,2023-01-12,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,13.749299
,2023-01-13,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,14.427202
,2023-01-14,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,3.444451
,2023-01-15,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,0.90921
,2023-01-16,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,11.278906
,2023-01-17,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,13.670257
,2023-01-18,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,13.835366
,2023-01-19,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,12.783748
,2023-01-20,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,12.860547
,2023-01-21,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,3.655572
,2023-01-22,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,0.917734
,2023-01-23,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,10.740136
,2023-01-24,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,14.63924
,2023-01-25,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,14.568723
,2023-01-26,44389.0,GUARANY CL 514,Consumidor Livre,SUDESTE,21.6,13.248599
