MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202502.0,2025-02-01,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.063512
202502.0,2025-02-02,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.070336
202502.0,2025-02-03,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.156287
202502.0,2025-02-04,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,3.933127
202502.0,2025-02-05,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.710968
202502.0,2025-02-06,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.758293
202502.0,2025-02-07,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.509389
202502.0,2025-02-08,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.079648
202502.0,2025-02-09,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,3.385995
202502.0,2025-02-10,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,6.841494
202502.0,2025-02-11,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.865569
202502.0,2025-02-12,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.0714440000000005
202502.0,2025-02-13,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.166386
202502.0,2025-02-14,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.771647
202502.0,2025-02-15,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,2.609921
202502.0,2025-02-16,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.772428
202502.0,2025-02-17,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.379001
202502.0,2025-02-18,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.12899
202502.0,2025-02-19,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,3.46164
202502.0,2025-02-20,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.945395
202502.0,2025-02-21,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.134029
202502.0,2025-02-22,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.063797
202502.0,2025-02-23,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,1.12374
202502.0,2025-02-24,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.081096
202502.0,2025-02-25,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.1110240000000005
202502.0,2025-02-26,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.248225
202502.0,2025-02-27,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.633203
202502.0,2025-02-28,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.198583
202503.0,2025-03-01,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.064494
202503.0,2025-03-02,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.069703
202503.0,2025-03-03,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.679956
202503.0,2025-03-04,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.796312
202503.0,2025-03-05,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.597311
202503.0,2025-03-06,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.765516
202503.0,2025-03-07,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.343653
202503.0,2025-03-08,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.0621829999999999
202503.0,2025-03-09,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.100582
202503.0,2025-03-10,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.04331
202503.0,2025-03-11,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.373077
202503.0,2025-03-12,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.313964
202503.0,2025-03-13,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.773978
202503.0,2025-03-14,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.619811
202503.0,2025-03-15,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.064746
202503.0,2025-03-16,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,1.206163
202503.0,2025-03-17,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.751618
202503.0,2025-03-18,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.433039
202503.0,2025-03-19,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.769747
202503.0,2025-03-20,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,4.661246
202503.0,2025-03-21,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,5.170497
202503.0,2025-03-22,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.064281
202503.0,2025-03-23,131100.0,IMBRAVIDROS BSB,Consumidor Livre,SUDESTE,12.0,0.267273
